iter	Passed	Remaining
0	99	107276
1	103	55750
2	109	39113
3	113	30302
4	116	25000
5	120	21439
6	123	18907
7	126	16891
8	129	15340
9	132	14134
10	135	13124
11	139	12359
12	142	11645
13	145	11032
14	148	10533
15	151	10058
16	155	9693
17	158	9326
18	161	8987
19	164	8686
20	167	8408
21	171	8237
22	175	8019
23	177	7796
24	180	7607
25	183	7429
26	188	7322
27	191	7173
28	194	7031
29	197	6902
30	201	6784
31	204	6683
32	207	6564
33	211	6471
34	214	6382
35	218	6319
36	221	6228
37	224	6137
38	227	6054
39	230	5980
40	234	5927
41	238	5863
42	241	5792
43	244	5723
44	247	5665
45	250	5619
46	253	5556
47	257	5504
48	260	5453
49	263	5398
50	267	5378
51	270	5333
52	273	5285
53	276	5240
54	280	5201
55	284	5177
56	287	5138
57	290	5096
58	293	5055
59	298	5059
60	302	5027
61	305	4995
62	308	4959
63	311	4927
64	316	4916
65	319	4890
66	323	4873
67	326	4842
68	331	4833
69	334	4806
70	338	4784
71	341	4758
72	344	4734
73	347	4710
74	350	4683
75	353	4655
76	356	4630
77	359	4605
78	364	4597
79	367	4572
80	369	4544
81	372	4518
82	375	4494
83	379	4478
84	382	4455
85	385	4433
86	388	4415
87	391	4393
88	395	4386
89	398	4364
90	401	4347
91	404	4329
92	407	4310
93	412	4305
94	414	4284
95	417	4263
96	420	4245
97	423	4225
98	427	4215
99	430	4198
100	433	4180
101	436	4164
102	439	4147
103	442	4138
104	445	4122
105	448	4105
106	452	4099
107	455	4085
108	460	4083
109	463	4069
110	466	4058
111	469	4042
112	472	4029
113	476	4018
114	479	4007
115	482	3993
116	485	3977
117	488	3963
118	491	3955
119	494	3940
120	497	3927
121	500	3916
122	503	3904
123	507	3896
124	510	3883
125	514	3875
126	517	3863
127	519	3851
128	523	3845
129	526	3834
130	529	3822
131	532	3810
132	535	3799
133	539	3794
134	543	3785
135	546	3774
136	549	3763
137	551	3751
138	556	3748
139	559	3740
140	562	3731
141	566	3723
142	569	3715
143	572	3707
144	575	3696
145	579	3689
146	582	3683
147	586	3679
148	590	3671
149	593	3663
150	596	3652
151	599	3642
152	602	3636
153	606	3628
154	609	3619
155	611	3608
156	615	3600
157	619	3596
158	622	3590
159	625	3580
160	628	3570
161	631	3565
162	635	3559
163	638	3550
164	641	3541
165	644	3532
166	647	3524
167	651	3518
168	653	3509
169	657	3501
170	659	3492
171	662	3482
172	666	3479
173	669	3471
174	672	3464
175	675	3455
176	678	3447
177	682	3443
178	685	3437
179	689	3430
180	692	3422
181	696	3420
182	699	3415
183	703	3408
184	706	3400
185	709	3395
186	713	3390
187	716	3385
188	719	3378
189	722	3370
190	725	3362
191	729	3357
192	732	3350
193	735	3342
194	738	3335
195	741	3331
