Year,Class,Class_Name,Count
2021,1,Network Leaders,132
2021,2,Transformation Specialists,98
2021,3,Network Laggards,50
2021,4,Funding-Rich Underperformers,103
2022,1,Network Leaders,117
2022,2,Transformation Specialists,113
2022,3,Network Laggards,51
2022,4,Funding-Rich Underperformers,102
2023,1,Network Leaders,127
2023,2,Transformation Specialists,95
2023,3,Network Laggards,68
2023,4,Funding-Rich Underperformers,93
2024,1,Network Leaders,135
2024,2,Transformation Specialists,94
2024,3,Network Laggards,74
2024,4,Funding-Rich Underperformers,80
