DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,Lagged NPAs,Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
1,2022,ABBB,Auburn Bancorp Inc,98.171,2.034,6.824,81.14,10.0,0.875,77.077,15.877,0.152,3.138,0.483,0.408,2022,Optimal,0.0,0.0,0.0,1.0,1.0,1.0,0.9030261202360312,0.9337132013214337,1,Network Leaders,Network Leaders
2,2022,ABCB,Ameris Bancorp,25053.286,319.719,3197.4,19462.738,2069.146,101.871,19855.253,1745.916,346.54,801.026,284.424,153.544,2022,Optimal,0.14332438,0.0,0.07166219,0.85667562,1.0,0.92833781,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
3,2022,ACNB,ACNB Corp,2525.507,35.979,245.042,2198.975,66.116,6.219,1538.61,621.879,35.752,83.425,21.807,4.331,2022,Optimal,0.058485618,0.11330393,0.085894774,0.941514382,0.7964546303182455,0.914105226,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
4,2022,AFBI,Affinity Bancshares Inc,791.283,12.221,117.103,657.172,12.722,10.538,646.234,73.809,7.134,29.755,2.402,9.621,2022,Optimal,0.11475157,0.0,0.057375785,0.88524843,1.0,0.942624215,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
5,2022,ALPIB,Alpine Banks of Colorado,6317.255,81.845,425.028,5518.666,323.976,3.836,3894.684,1975.548,73.354,201.764,41.081,2.625,2022,Optimal,0.042972515,0.027831277,0.035401896,0.957027485,0.9458446583154524,0.964598104,0.9030261202360312,0.9337132013214337,1,Network Leaders,Network Leaders
6,2022,ALRS,Alerus Financial Corp,3779.637,102.571,356.872,2915.484,442.825,3.082,2443.994,1063.183,40.005,99.729,111.223,3.824,2022,Optimal,0.16180434,0.0,0.08090217,0.83819566,1.0,0.91909783,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
7,2022,AMAL,Amalgamated Financial Corp,7843.124,74.712,508.955,6595.037,698.487,54.586,4106.002,3391.689,81.455,239.84,23.897,34.751,2022,Optimal,0.073206957,0.0,0.0366034785,0.926793043,1.0,0.9633965215,0.9030261202360312,0.9337132013214337,1,Network Leaders,Network Leaders
8,2022,AMBK,American Bank Inc,927.284,6.791,81.908,667.477,159.632,0.341,662.597,207.823,10.115,23.587,1.743,0.309,2022,Optimal,0.16828404,0.0,0.08414202,0.83171596,1.0,0.91585798,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
9,2022,AMFC,AMB Financial Corp.,324.819,4.745,27.177,291.736,3.093,0.46,266.371,17.108,3.178,10.51,2.204,0.404,2022,Optimal,0.027790092,0.0,0.013895046,0.972209908,1.0,0.986104954,0.9030261202360312,0.9337132013214337,1,Network Leaders,Network Leaders
10,2022,AMTB,Amerant Bancorp Inc,9127.804,123.51,705.726,7044.199,1199.305,59.501,6857.194,1366.68,63.31,266.665,67.277,37.599,2022,Optimal,0.15287003,0.066267185,0.1095686075,0.84712997,0.8757024769546855,0.8904313925,0.9030261202360312,0.9337132013214337,3,Network Laggards,Network Laggards
11,2022,ARBV,American Riviera Bancorp,1282.568,18.3,87.096,1163.528,25.069,2.869,907.685,269.874,13.494,46.846,3.347,3.066,2022,Optimal,0.025612141,0.093399416,0.0595057785,0.974387859,0.8291577357125641,0.9404942215,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
12,2022,AROW,Arrow Financial Corp,3969.509,47.003,353.538,3498.364,85.741,11.79,2983.207,757.097,48.799,118.343,30.898,12.576,2022,Optimal,0.039576428,0.040400902,0.039988665,0.960423572,0.9223358958602672,0.960011335,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
13,2022,ASB,Associated Banc-Corp,39405.727,454.101,4015.49,29636.154,5202.226,160.062,28799.569,7023.135,366.122,957.321,282.37,126.466,2022,Optimal,0.16990736,0.0,0.08495368,0.8300926399999999,1.0,0.91504632,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
14,2022,ASRV,AmeriServ Financial Inc,1363.874,28.492,106.178,1108.537,138.373,3.323,990.766,249.265,7.448,40.563,16.692,5.2,2022,Optimal,0.12763746,0.095181911,0.1114096855,0.87236254,0.8261806371270498,0.8885903145,0.9030261202360312,0.9337132013214337,3,Network Laggards,Network Laggards
15,2022,ATLO,Ames National Corp,2134.926,22.909,149.098,1897.957,79.796,13.057,1241.711,791.051,19.293,53.244,9.687,14.722,2022,Optimal,0.038887963,0.02177084,0.0303294015,0.961112037,0.9573860612424602,0.9696705985,0.9030261202360312,0.9337132013214337,1,Network Leaders,Network Leaders
16,2022,AUB,Atlantic Union Bankshares Corp,20461.138,228.926,2372.737,15931.677,1764.684,32.796,14449.142,3709.761,234.51,584.261,118.523,27.114,2022,Optimal,0.14185854,0.02507543,0.083466985,0.85814146,0.9510759320414108,0.916533015,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
17,2022,AUBN,Auburn National Bancorporation Inc,1023.888,12.307,68.041,950.337,3.162,0.818,504.458,405.304,10.346,27.166,6.506,2.731,2022,Optimal,0.0045635621,0.0,0.00228178105,0.9954364379,1.0,0.99771821895,0.9030261202360312,0.9337132013214337,1,Network Leaders,Network Leaders
18,2022,AVBH,Avidbank Holdings Inc,2133.268,29.102,137.538,1823.235,164.953,3.244,1554.222,451.362,25.023,74.079,4.67,14.245,2022,Optimal,0.078642625,0.024879454,0.0517610394999999,0.921357375,0.9514490140222872,0.9482389605,0.9030261202360312,0.9337132013214337,1,Network Leaders,Network Leaders
19,2022,AX,Axos Financial Inc.,17401.165,167.39,1642.973,13946.422,637.622,151.977,14239.678,282.886,240.716,607.158,113.363,118.992,2022,Optimal,0.1131454,0.0,0.0565727,0.8868546,1.0,0.9434273,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
20,2022,BAC,Bank of America Corp,3051375.0,36447.0,273197.0,1930341.0,508908.0,4697.0,1032103.0,862819.0,27528.0,52462.0,42488.0,3978.0,2022,Optimal,0.027854525,0.0,0.0139272625,0.972145475,1.0,0.9860727375,0.9030261202360312,0.9337132013214337,1,Network Leaders,Network Leaders
