DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,NPAs (Previous Period),Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
1,2023,ABBB,Auburn Bancorp Inc,103.72,1.868,6.207,78.983,18.33,0.408,81.054,15.924,0.035,2.907,0.35,0.266,2023,Optimal,0.0,0.0,0.0,1.0,1.0,1.0,0.9022510836552219,0.9324370158718628,1,Network Leaders,Network Leaders
2,2023,ABCB,Ameris Bancorp,25203.699,320.11,3426.747,20708.509,698.422,153.544,20269.303,1616.25,269.105,835.044,242.828,174.321,2023,Optimal,0.090934217,0.0,0.0454671085,0.909065783,1.0,0.9545328915,0.9022510836552219,0.9324370158718628,1,Network Leaders,Network Leaders
3,2023,ACNB,ACNB Corp,2418.847,40.931,277.461,1861.813,254.789,4.331,1627.988,526.898,31.688,88.32,18.445,4.64,2023,Optimal,0.15857723,0.055557535,0.1070673825,0.84142277,0.8947332889817323,0.8929326175,0.9022510836552219,0.9324370158718628,3,Network Laggards,Network Laggards
4,2023,AFBI,Affinity Bancshares Inc,843.258,12.252,121.516,674.443,42.158,9.621,659.876,88.201,6.448,27.198,2.466,10.276,2023,Optimal,0.12396318,0.0050635193,0.06451334965,0.8760368199999999,0.9899239815140708,0.93548665035,0.9022510836552219,0.9324370158718628,2,Transformation Specialists,Transformation Specialists
5,2023,ALPIB,Alpine Banks of Colorado,6419.559,88.179,466.933,5700.099,191.179,2.625,4042.975,1873.641,57.044,193.5,46.987,25.379,2023,Optimal,0.021633086,0.0123442,0.0169886429999999,0.978366914,0.9756126424194458,0.983011357,0.9022510836552219,0.9324370158718628,1,Network Leaders,Network Leaders
6,2023,ALRS,Alerus Financial Corp,3907.713,96.341,369.127,3095.611,378.877,3.824,2759.583,807.44,11.696,87.839,80.229,8.767,2023,Optimal,0.13254739,0.07259038,0.102568885,0.86745261,0.8646447304515261,0.8974311150000001,0.9022510836552219,0.9324370158718628,3,Network Laggards,Network Laggards
7,2023,AMAL,Amalgamated Financial Corp,7972.324,85.774,585.364,7011.988,335.573,34.751,4411.319,3197.289,87.978,261.311,29.336,34.203,2023,Optimal,0.024462552,0.026365085,0.0254138184999999,0.975537448,0.9486243532923766,0.9745861815,0.9022510836552219,0.9324370158718628,1,Network Leaders,Network Leaders
8,2023,AMBK,American Bank Inc,918.877,6.951,89.811,701.538,111.897,0.309,739.588,96.539,9.312,22.925,1.768,3.164,2023,Optimal,0.096742008,0.02510472,0.060923364,0.903257992,0.951020184552462,0.939076636,0.9022510836552219,0.9324370158718628,1,Network Leaders,Network Leaders
9,2023,AMFC,AMB Financial Corp.,352.445,4.849,28.656,300.431,20.093,0.404,298.469,17.43,2.189,9.831,2.115,2.155,2023,Optimal,0.035666363,0.0043460753,0.02000621915,0.964333637,0.9913454626709188,0.97999378085,0.9022510836552219,0.9324370158718628,1,Network Leaders,Network Leaders
10,2023,AMTB,Amerant Bancorp Inc,9716.327,133.506,736.068,7894.863,921.325,37.599,6873.493,1496.975,32.49,326.464,87.496,54.581,2023,Optimal,0.10528383,0.11511886,0.110201345,0.89471617,0.7935307811043569,0.889798655,0.9022510836552219,0.9324370158718628,3,Network Laggards,Network Laggards
