DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,Lagged NPAs,Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
3,2021,ACNB,ACNB Corp,2786.987,36.816,272.114,2426.389,73.172,7.896,1468.427,448.464,27.834,71.244,22.776,6.219,2021,Optimal,0.045786359,0.34524584,0.1955160995,0.954213641,0.4867171044364649,0.8044839005,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
5,2021,ALPIB,Alpine Banks of Colorado,6218.621,78.631,418.449,5607.891,146.857,5.074,3386.69,1746.737,59.646,172.072,47.567,3.836,2021,Optimal,0.0,0.094572813,0.0472864065,1.0,0.8271968536459529,0.9527135935,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
11,2021,ARBV,American Riviera Bancorp,1306.54,16.007,96.273,1202.09,4.972,3.446,793.49,195.831,11.829,39.089,3.585,2.869,2021,Optimal,0.0,0.16884667,0.084423335,1.0,0.7110884184663845,0.915576665,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
12,2021,AROW,Arrow Financial Corp,4027.952,44.798,371.186,3550.497,77.293,6.561,2667.941,763.009,49.857,110.355,32.369,11.79,2021,Optimal,0.029520964,0.083128452,0.056324708,0.970479036,0.8465030590849996,0.943675292,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
18,2021,AVBH,Avidbank Holdings Inc,2162.478,25.256,137.1,1979.41,37.535,3.547,1223.344,385.303,12.264,51.029,5.313,3.244,2021,Optimal,0.0,0.27467355,0.137336775,1.0,0.5690291839820478,0.862663225,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
23,2021,BANR,Banner Corp,16804.872,244.351,1690.327,14326.933,592.625,36.481,9084.763,4171.915,201.048,496.891,96.416,23.705,2021,Optimal,0.0494779,0.11965645,0.084567175,0.9505221,0.7862622056971137,0.915432825,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
24,2021,BCAL,California BanCorp,2259.866,34.883,246.528,1973.098,29.411,0.896,1504.748,68.06,10.709,64.411,4.514,0.809,2021,Optimal,0.046170169,0.12562799,0.0858990795,0.953829831,0.7767859521687979,0.9141009205,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
25,2021,BCBP,BCB Bancorp Inc,2967.528,26.41,274.024,2561.402,121.738,17.143,2342.061,116.457,34.24,97.393,8.695,14.964,2021,Optimal,0.051835619,0.11912498,0.0854802995,0.948164381,0.7871104977033038,0.9145197005,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
28,2021,BFC,Bank First Corp,2937.552,28.515,322.653,2528.44,68.213,14.419,2235.514,227.604,45.444,90.082,23.518,8.39,2021,Optimal,0.055643196,0.07653792,0.066090558,0.944356804,0.8578072939595104,0.933909442,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
29,2021,BFIN,BankFinancial Corp,1700.682,22.638,157.466,1488.431,29.467,1.378,1050.922,93.184,7.41,43.772,5.689,1.475,2021,Optimal,0.046358181,0.26074018,0.1535491805,0.953641819,0.5863696832443304,0.8464508195,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
30,2021,BFST,Business First Bancshares Inc,4726.378,65.825,433.368,4077.283,187.59,20.039,3189.608,1037.68,52.136,153.884,35.782,14.517,2021,Optimal,0.04902511,0.070515561,0.0597703355,0.95097489,0.8682586903563935,0.9402296645,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
32,2021,BHLB,Berkshire Hills Bancorp Inc,11554.913,150.589,1182.435,10068.953,176.38,67.029,6825.847,2540.236,118.664,291.166,143.248,37.062,2021,Optimal,0.031203105,0.055830507,0.043516806,0.968796895,0.8942434289787006,0.956483194,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
35,2021,BKOR,Oak Ridge Financial Services Inc,586.921,8.92,51.328,509.279,20.388,3.5,429.656,48.659,7.763,21.01,4.016,3.0,2021,Optimal,0.051083561,0.16202284,0.1065532005,0.948916439,0.7211365656117396,0.8934467994999999,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
36,2021,BKSC,Bank of South Carolina Corp,679.221,7.438,53.918,609.191,14.042,1.156,306.632,212.347,6.745,17.377,3.868,0.815,2021,Optimal,0.011249903,0.26696114,0.1391055215,0.988750097,0.5785803817155749,0.8608944785,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
39,2021,BMBN,Benchmark Bankshares Inc,1040.576,15.327,84.437,945.287,4.485,1.698,644.052,84.326,11.524,33.32,8.739,0.61,2021,Optimal,0.01612277,0.17527447,0.09569862,0.98387723,0.7017301498942626,0.90430138,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
40,2021,BMRC,Bank of Marin Bancorp,4314.209,38.934,450.368,3808.55,25.848,9.233,2255.645,1509.79,33.228,104.951,10.132,9.176,2021,Optimal,0.027418827,0.053917893,0.04066836,0.972581173,0.897681036904077,0.95933164,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
41,2021,BNCC,BNCCORP Inc,1047.372,25.161,114.986,906.668,17.303,2.612,529.793,212.074,21.955,31.32,44.683,1.69,2021,Optimal,0.062181042,0.2213837,0.141782371,0.937818958,0.6374870566882462,0.858217629,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
44,2021,BOTJ,Bank of the James Financial Group Inc,987.634,16.377,69.429,887.056,26.087,3.168,583.384,166.246,7.589,27.079,11.209,1.715,2021,Optimal,0.026708743,0.28484957,0.1557791565,0.973291257,0.5566024589166497,0.8442208435,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
51,2021,BUSE,First Busey Corp,12859.689,137.493,1319.112,10768.577,638.816,28.872,7188.998,3994.822,123.449,270.698,132.804,21.268,2021,Optimal,0.06843763,0.072536647,0.0704871384999999,0.93156237,0.864738147264445,0.9295128615,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
53,2021,BWFG,Bankwell Financial Group Inc,2456.264,18.317,201.987,2123.998,99.606,33.416,1892.069,111.223,26.586,67.886,5.657,16.587,2021,Optimal,0.046434322,0.064783707,0.0556090145,0.953565678,0.8783157432366685,0.9443909855,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
61,2021,CBAN,Colony Bankcorp Inc,2691.715,45.596,217.707,2374.608,89.111,10.134,1337.977,952.176,18.659,66.189,36.29,5.779,2021,Optimal,0.033398229,0.13197649,0.0826873595,0.966601771,0.7668211466123294,0.9173126405,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
