DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,NPAs (Previous Period),Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
4,2021,AFBI,Affinity Bancshares Inc,788.088,10.415,120.968,614.799,48.988,6.194,584.384,51.033,7.573,29.276,2.678,10.538,2021,Optimal,0.14634385,0.059465294,0.102904572,0.85365615,0.8877447060573558,0.897095428,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
8,2021,AMBK,American Bank Inc,849.15,6.309,76.25,660.88,108.711,0.456,615.087,83.228,10.103,21.64,2.435,0.341,2021,Optimal,0.11562838,0.10165883,0.108643605,0.88437162,0.8154440789985771,0.891356395,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
14,2021,ASRV,AmeriServ Financial Inc,1335.56,27.847,116.549,1139.378,72.837,3.331,985.054,221.739,7.072,39.083,17.761,3.323,2021,Optimal,0.073426969,0.087949003,0.0806879859999999,0.926573031,0.8383214603672007,0.919312014,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
26,2021,BCML,BayCom Corp,2350.697,33.761,262.607,1985.239,84.602,9.083,1664.89,190.47,20.691,72.807,11.268,6.909,2021,Optimal,0.077312791,0.16738316,0.1223479755,0.922687209,0.7132335539258593,0.8776520245,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
31,2021,BHB,Bar Harbor Bankshares,3709.233,47.117,424.147,3048.544,188.167,12.188,2531.91,625.66,39.299,95.573,41.883,10.191,2021,Optimal,0.096571771,0.10315812,0.0998649455,0.903428229,0.812976729029561,0.9001350545,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
49,2021,BSBK,Bogota Financial Corp,837.362,7.744,147.576,597.48,85.052,0.693,572.363,120.743,7.52,19.277,4.494,0.865,2021,Optimal,0.20855517,0.060474456,0.134514813,0.79144483,0.885948302370048,0.865485187,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
50,2021,BSRR,Sierra Bancorp,3371.014,42.431,362.494,2781.572,197.589,8.569,1987.861,985.707,43.012,109.026,28.079,4.615,2021,Optimal,0.093971386,0.056002247,0.0749868165,0.906028614,0.8939353639462474,0.9250131835,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
55,2021,CAC,Camden National Corp,5500.356,61.007,541.294,4608.889,271.696,10.706,3431.474,1519.057,69.014,137.436,49.735,6.884,2021,Optimal,0.075396397,0.054208538,0.0648024675,0.924603603,0.8971578467712998,0.9351975325,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
62,2021,CBCY,Central Bancompany Inc,20273.174,267.118,2505.661,16128.904,1456.635,38.251,10301.371,5814.567,246.83,495.855,275.456,28.746,2021,Optimal,0.1123302,0.066772741,0.0895514705,0.8876698,0.8748135597514297,0.9104485295,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
70,2021,CCFN,Muncy Columbia Financial Corp,952.713,9.551,104.342,701.495,143.66,4.11,467.3,342.006,9.405,22.026,7.998,2.87,2021,Optimal,0.18797203,0.082573398,0.135272714,0.8120279699999999,0.8474497929608279,0.8647272859999999,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
74,2021,CFFI,C&F Financial Corp,2264.521,58.581,211.024,1914.614,100.131,4.602,1410.06,374.1,28.667,85.369,49.163,3.949,2021,Optimal,0.076569153,0.14168799,0.1091285715,0.923430847,0.7517920986450948,0.8908714285,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
79,2021,CHCO,City Holding Co,6003.695,61.85,681.105,4925.336,312.458,13.882,3543.814,1433.696,88.08,155.573,69.641,7.58,2021,Optimal,0.094317649,0.11694008,0.1056288645,0.905682351,0.7906063501633857,0.8943711355,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
81,2021,CIVB,Civista Bancshares Inc,3011.983,44.69,355.212,2416.701,205.622,7.327,1997.879,577.957,40.546,95.425,31.452,5.37,2021,Optimal,0.12064213,0.085688233,0.1031651815,0.87935787,0.8421494672310776,0.8968348185,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
103,2021,CZWI,Citizens Community Bancorp Inc,1739.628,22.723,170.866,1387.535,172.181,11.53,1310.963,290.842,21.266,53.667,15.824,13.233,2021,Optimal,0.13157246,0.059421416,0.095496938,0.86842754,0.8878228906786608,0.904503062,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
107,2021,EBMT,Eagle Bancorp Montana Inc,1435.926,48.766,156.729,1222.549,37.161,8.498,933.139,275.938,14.419,46.54,47.769,7.063,2021,Optimal,0.074417331,0.083122215,0.078769773,0.925582669,0.8465136919013336,0.921230227,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
124,2021,FBPI,First Bancorp of Indiana Inc,480.872,7.727,41.548,367.497,65.155,2.543,339.348,55.412,3.786,13.502,6.543,1.273,2021,Optimal,0.15737134,0.15062609,0.153998715,0.84262866,0.7381841220026568,0.846001285,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
141,2021,FGFH,Foresight Financial Group Inc,1453.784,21.433,155.227,1235.444,52.718,11.976,859.832,446.532,11.386,41.23,9.494,7.585,2021,Optimal,0.076019947,0.061428196,0.0687240715,0.923980053,0.8842536947266095,0.9312759285,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
144,2021,FIBK,First Interstate BancSystem Inc,19671.9,220.7,1986.6,16269.6,1250.5,50.5,9331.7,6508.1,192.1,488.2,150.5,29.7,2021,Optimal,0.077171109,0.11223677,0.0947039395,0.922828891,0.7981782781736303,0.9052960605,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
149,2021,FKYS,First Keystone Corp,1320.35,14.148,148.555,1077.969,88.892,7.119,746.835,441.797,14.688,36.9,7.323,7.066,2021,Optimal,0.10710615,0.071398171,0.0892521605,0.89289385,0.8667196324717265,0.9107478395,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
151,2021,FMAO,Farmers & Merchants Bancorp Inc,2638.3,26.336,297.167,2193.462,127.804,9.475,1857.419,438.093,23.495,69.498,17.609,8.235,2021,Optimal,0.08891642,0.092189968,0.090553194,0.91108358,0.831183272688694,0.909446806,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
160,2021,FNWB,First Northwest Bancorp,1921.081,33.515,190.48,1580.58,127.014,2.275,1365.384,349.408,15.418,58.298,15.638,1.4,2021,Optimal,0.10294755,0.066590608,0.084769079,0.89705245,0.8751337064089354,0.915230921,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
167,2021,FRST,Primis Financial Corp,3407.353,36.741,411.881,2763.216,211.488,17.54,2339.986,309.793,31.248,94.203,11.135,16.475,2021,Optimal,0.10962295,0.18879921,0.14921108,0.89037705,0.6823698932303295,0.8507889200000001,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
172,2021,FUNC,First United Corp,1729.838,22.061,141.9,1469.374,91.389,16.382,1153.395,344.059,19.77,52.542,20.714,7.239,2021,Optimal,0.074562442,0.10001515,0.087288796,0.925437558,0.8181567772043867,0.912711204,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
183,2021,HARL,Harleysville Financial Corp,892.639,8.452,80.702,725.936,80.512,7.628,550.226,109.059,7.284,22.49,3.176,7.293,2021,Optimal,0.1019289,0.31022348,0.20607619,0.8980711,0.5264571506534138,0.79392381,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
188,2021,HBNC,Horizon Bancorp Inc,7374.903,74.051,723.209,5802.991,793.036,28.715,3607.631,2737.695,87.091,181.69,57.952,22.58,2021,Optimal,0.1304126,0.10231339,0.116362995,0.8695874,0.8143660579138934,0.883637005,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
196,2021,HOMB,Home Bancshares Inc,18052.138,170.755,2765.721,14260.57,954.388,78.558,9836.089,3119.807,319.021,572.971,137.569,51.823,2021,Optimal,0.11927783,0.10551851,0.1123981699999999,0.88072217,0.8091058466311885,0.88760183,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
200,2021,HTB,HomeTrust Bancshares Inc,3524.723,62.956,396.519,2955.541,122.73,16.26,2733.267,180.169,15.675,103.322,39.821,12.794,2021,Optimal,0.078612674,0.073248193,0.0759304335,0.921387326,0.8635018563688373,0.9240695665,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
206,2021,INBC,InBankshares Corp,745.233,14.029,77.239,627.75,36.351,0.691,431.283,233.532,2.749,24.139,3.494,0.948,2021,Optimal,0.082524797,0.069670989,0.076097893,0.917475203,0.8697337971835001,0.923902107,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
207,2021,INBK,First Internet Bancorp,4210.994,38.223,380.338,3178.959,619.153,10.218,2887.662,688.259,48.114,86.556,32.844,8.618,2021,Optimal,0.16979052,0.14287379,0.156332155,0.8302094799999999,0.7499745094338021,0.843667845,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
209,2021,IROQ,IF Bancorp Inc,797.341,11.897,85.304,667.632,34.245,1.095,519.97,194.089,5.347,20.179,6.228,0.411,2021,Optimal,0.088951171,0.075254604,0.0821028875,0.911048829,0.860024586325789,0.9178971125,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
210,2021,ISBA,Isabella Bank Corp,2032.158,23.749,211.048,1710.339,99.32,6.07,1301.037,507.984,19.499,52.701,13.822,1.684,2021,Optimal,0.081497023,0.075917005,0.0787070139999999,0.918502977,0.8588794402408391,0.921292986,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
218,2021,KISB,Kish Bancorp Inc,1232.778,19.932,77.099,1002.645,139.158,0.598,878.713,197.188,9.881,33.389,11.346,0.642,2021,Optimal,0.11829187,0.09214777,0.1052198199999999,0.88170813,0.8312540252680277,0.89478018,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
230,2021,MBWM,Mercantile Bank Corp,5257.749,66.447,456.559,4083.193,693.353,4.085,3453.459,610.745,59.021,124.062,56.22,2.468,2021,Optimal,0.14388517,0.079647721,0.1117664455,0.85611483,0.8524560938706415,0.8882335545,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
233,2021,MCBS,Metrocity Bankshares Inc,3106.158,30.112,290.223,2263.02,510.32,16.938,2505.07,56.82,61.701,104.169,33.803,15.416,2021,Optimal,0.20112945,0.066416105,0.1337727775,0.79887055,0.8754405439141412,0.8662272225000001,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
243,2021,MSBI,Midland States Bancorp Inc,7443.805,86.883,663.837,6110.648,586.153,75.432,5224.801,952.473,81.317,207.675,69.899,57.068,2021,Optimal,0.092514841,0.13977482,0.1161448304999999,0.907485159,0.7547325707721811,0.8838551695,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
255,2021,NIDB,Northeast Indiana Bancorp Inc,417.657,5.413,48.694,341.948,23.001,5.413,278.265,100.988,7.297,14.246,4.646,3.224,2021,Optimal,0.089530733,0.057225063,0.073377898,0.910469267,0.8917447854714735,0.926622102,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
262,2021,OBK,Origin Bancorp Inc,7861.285,93.026,730.211,6570.693,495.761,28.757,5231.331,1580.184,108.546,216.252,62.193,28.517,2021,Optimal,0.075467426,0.10401814,0.0897427829999999,0.924532574,0.8115644367944896,0.910257217,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
265,2021,OFED,Oconee Federal Financial Corp,543.716,6.667,88.1,439.93,15.0,2.9,339.089,140.469,4.065,14.847,2.003,2.781,2021,Optimal,0.10525224,0.057211665,0.0812319525,0.89474776,0.8917687594754263,0.9187680475,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
274,2021,OVBC,Ohio Valley Banc Corp.,1249.769,21.649,141.356,1059.908,29.309,6.976,831.191,194.559,11.732,41.013,9.864,4.651,2021,Optimal,0.079832242,0.12424756,0.102039901,0.920167758,0.7789676145705845,0.897960099,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
303,2021,RBB,RBB Bancorp,4228.194,33.568,466.683,3385.532,360.791,19.847,2931.35,389.512,56.906,124.343,18.745,21.018,2021,Optimal,0.11810952,0.18187006,0.14998979,0.88189048,0.6922334084679325,0.85001021,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
308,2021,RNST,Renasant Corp,16810.311,280.627,2209.853,13905.724,552.223,61.442,10020.914,2802.409,175.892,424.001,226.984,53.345,2021,Optimal,0.077908259,0.11615701,0.0970326344999999,0.922091741,0.7918625982557776,0.9029673655,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
312,2021,SBFG,SB Financial Group Inc,1330.854,26.838,144.929,1113.045,50.676,7.259,822.714,268.562,18.277,37.884,30.697,6.481,2021,Optimal,0.091935588,0.13892365,0.115429619,0.908064412,0.7560439630874292,0.884570381,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
327,2021,SOMC,Southern Michigan Bancorp Inc,1161.154,16.492,97.749,974.352,77.921,4.959,739.877,245.846,11.757,33.319,9.009,1.521,2021,Optimal,0.090732413,0.15191311,0.1213227614999999,0.909267587,0.7362420677719347,0.8786772385,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
328,2021,SOME,Somerset Trust Holding Co,1867.426,33.587,139.993,1586.85,124.719,10.954,1132.304,518.832,13.946,62.117,17.388,15.465,2021,Optimal,0.073476242,0.094860631,0.0841684365,0.926523758,0.8267165184058939,0.9158315635,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
338,2021,TCBI,Texas Capital Bancshares Inc,34731.738,350.93,3209.616,28109.365,3201.013,121.989,22806.954,3583.808,253.939,768.837,138.23,72.502,2021,Optimal,0.094706382,0.12975077,0.112228576,0.905293618,0.7703019578380106,0.887771424,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
340,2021,TCBS,Texas Community Bancshares Inc,364.826,5.146,60.132,274.933,28.043,1.082,221.754,92.519,0.518,8.418,1.717,1.799,2021,Optimal,0.15765953,0.065237036,0.111448283,0.84234047,0.877516395327434,0.888551717,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
354,2021,UBCP,United Bancorp Inc,724.456,9.698,71.701,605.136,39.366,1.347,454.372,150.017,9.451,22.112,5.706,4.624,2021,Optimal,0.086118443,0.13072963,0.1084240365,0.913881557,0.7687694272237298,0.8915759635,0.9277338271067884,0.8996884017114126,3,Network Laggards,Network Laggards
