DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,Lagged NPAs,Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
1,2021,ABBB,Auburn Bancorp Inc,100.392,1.83,8.107,82.7,9.373,0.818,77.033,9.661,0.409,3.017,0.831,0.875,2021,Optimal,0.0,0.0,0.0,1.0,1.0,1.0,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
6,2021,ALRS,Alerus Financial Corp,3392.691,115.419,359.403,2920.551,63.208,5.143,1758.02,1212.191,52.681,87.099,147.387,3.082,2021,Optimal,0.054220678,0.0,0.027110339,0.945779322,1.0,0.972889661,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
7,2021,AMAL,Amalgamated Financial Corp,7077.876,69.844,563.875,6356.255,131.991,82.234,3312.224,2963.835,52.915,174.304,28.389,54.586,2021,Optimal,0.0070210443,0.0,0.00351052215,0.9929789557,1.0,0.99648947785,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
9,2021,AMFC,AMB Financial Corp.,287.955,4.683,25.418,251.519,8.093,2.256,215.087,13.071,3.781,9.36,4.138,0.46,2021,Optimal,0.023907015,0.0,0.0119535075,0.976092985,1.0,0.9880464925,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
15,2021,ATLO,Ames National Corp,2137.041,22.281,207.778,1878.019,42.851,15.53,1160.729,834.425,23.913,55.997,10.537,13.057,2021,Optimal,0.038554072,0.0,0.019277036,0.961445928,1.0,0.980722964,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
17,2021,AUBN,Auburn National Bancorporation Inc,1105.15,11.71,103.726,994.243,4.158,0.534,458.364,421.891,8.039,23.99,4.288,0.818,2021,Optimal,0.014782389,0.0,0.0073911945,0.985217611,1.0,0.9926088055,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
20,2021,BAC,Bank of America Corp,3169495.0,36140.0,270066.0,2064446.0,507057.0,5116.0,964299.0,982627.0,31978.0,42934.0,46179.0,4697.0,2021,Optimal,0.034080469,0.0,0.0170402345,0.965919531,1.0,0.9829597655,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
21,2021,BANC,Banc of California Inc,40443.344,368.45,3999.63,34997.757,1005.4,105.19,22941.548,10711.708,606.959,1103.824,193.927,74.017,2021,Optimal,0.031391656,0.037679724,0.0345356899999999,0.968608344,0.927376967809,0.96546431,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
22,2021,BANF,BancFirst Corp,9405.612,166.723,1171.734,8091.914,90.863,82.611,6169.442,545.09,167.63,315.657,170.032,69.074,2021,Optimal,0.045740967,0.0,0.0228704835,0.954259033,1.0,0.9771295165,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
37,2021,BKU,BankUnited Inc,35815.396,243.532,3037.761,29438.102,2914.951,247.591,23765.053,10200.057,414.984,795.688,134.153,208.184,2021,Optimal,0.060165858,0.0,0.030082929,0.939834142,1.0,0.969917071,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
