DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,Lagged NPAs,Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
2,2021,ABCB,Ameris Bancorp,23858.321,337.776,2966.451,19665.553,936.875,97.207,15874.258,720.023,376.913,655.327,365.544,101.871,2021,Optimal,0.079343391,0.0,0.0396716955,0.920656609,1.0,0.9603283045,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
10,2021,AMTB,Amerant Bancorp Inc,7638.399,117.585,831.873,5630.871,1075.605,88.127,5409.44,1341.241,112.921,205.141,120.621,59.501,2021,Optimal,0.18546043,0.0,0.092730215,0.81453957,1.0,0.907269785,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
13,2021,ASB,Associated Banc-Corp,35104.253,426.687,4024.853,28466.43,2255.978,225.123,24224.949,6757.596,350.994,725.855,332.364,160.062,2021,Optimal,0.09289679,0.0023859721,0.04764138105,0.90710321,0.9952394144243631,0.95235861895,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
16,2021,AUB,Atlantic Union Bankshares Corp,20064.796,214.929,2710.071,16611.068,566.813,45.221,13195.843,4186.475,263.917,551.26,125.806,32.796,2021,Optimal,0.076140528,0.010499359,0.0433199435,0.923859472,0.9792194643044796,0.9566800565,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
19,2021,AX,Axos Financial Inc.,14265.565,152.576,1400.936,10815.797,644.977,94.349,11547.772,207.33,215.707,538.742,105.261,151.977,2021,Optimal,0.15652827,0.0,0.078264135,0.84347173,1.0,0.921735865,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
27,2021,BCTF,Bancorp 34 Inc,527.652,7.833,40.742,437.782,43.915,2.653,415.623,75.068,3.4,18.564,1.449,4.338,2021,Optimal,0.089173211,0.050745014,0.0699591125,0.910826789,0.9034113637012224,0.9300408875,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
33,2021,BHRB,Burke & Herbert Financial Services Corp,3621.743,44.72,389.627,2933.417,286.165,27.83,1745.073,1617.76,36.165,96.603,17.251,26.261,2021,Optimal,0.11008594,0.0,0.05504297,0.88991406,1.0,0.94495703,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
34,2021,BK,Bank of New York Mellon Corp (The),444438.0,6337.0,43230.0,319694.0,39707.0,89.0,67056.0,159184.0,3759.0,2618.0,13313.0,120.0,2021,Optimal,0.13494321,0.0,0.067471605,0.86505679,1.0,0.932528395,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
38,2021,BLFY,Blue Foundry Bancorp,1914.211,25.206,429.471,1247.04,212.196,13.479,1287.609,358.355,-36.342,42.949,2.479,11.983,2021,Optimal,0.29159521,0.0,0.145797605,0.70840479,1.0,0.854202395,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
43,2021,BOKF,BOK Financial Corp,50249.431,695.382,5368.371,41242.059,2743.428,476.994,20205.68,13495.144,618.121,1118.033,755.775,369.266,2021,Optimal,0.080941007,0.019035952,0.0499884794999999,0.919058993,0.9626392926321404,0.9500115205,0.9277338271067884,0.8996884017114126,2,Transformation Specialists,Transformation Specialists
