DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,NPAs (Previous Period),Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
3,2022,ACNB,ACNB Corp,2525.507,35.979,245.042,2198.975,66.116,6.219,1538.61,621.879,35.752,83.425,21.807,4.331,2022,Optimal,0.058485618,0.11330393,0.085894774,0.941514382,0.7964546303182455,0.914105226,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
11,2022,ARBV,American Riviera Bancorp,1282.568,18.3,87.096,1163.528,25.069,2.869,907.685,269.874,13.494,46.846,3.347,3.066,2022,Optimal,0.025612141,0.093399416,0.0595057785,0.974387859,0.8291577357125641,0.9404942215,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
12,2022,AROW,Arrow Financial Corp,3969.509,47.003,353.538,3498.364,85.741,11.79,2983.207,757.097,48.799,118.343,30.898,12.576,2022,Optimal,0.039576428,0.040400902,0.039988665,0.960423572,0.9223358958602672,0.960011335,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
21,2022,BANC,Banc of California Inc,41228.936,406.839,3950.531,33936.334,2779.518,74.017,28609.129,7146.912,423.613,1290.762,74.827,108.8,2022,Optimal,0.086526219,0.066734016,0.0766301175,0.913473781,0.8748816199745149,0.9233698825,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
22,2022,BANF,BancFirst Corp,12387.863,184.976,1250.836,10974.228,91.769,69.074,6943.563,1556.116,193.1,373.673,183.747,61.554,2022,Optimal,0.025051456,0.080160533,0.0526059945,0.974948544,0.8515766304155459,0.9473940055,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
23,2022,BANR,Banner Corp,15833.431,242.266,1456.432,13620.059,511.808,23.705,10146.724,3918.619,195.378,553.179,75.255,23.35,2022,Optimal,0.052460888,0.051183754,0.051822321,0.947539112,0.9026169234346824,0.948177679,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
27,2022,BCTF,Bancorp 34 Inc,575.556,7.274,50.687,487.587,29.531,4.338,466.265,65.691,4.015,18.494,0.664,6.796,2022,Optimal,0.09343842,0.04911583,0.071277125,0.90656158,0.9063671930295818,0.928722875,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
28,2022,BFC,Bank First Corp,3660.432,33.155,453.103,3060.229,124.207,8.39,2893.978,366.229,45.214,104.085,19.847,6.421,2022,Optimal,0.085427596,0.041801748,0.063614672,0.914572404,0.9197510503697102,0.936385328,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
32,2022,BHLB,Berkshire Hills Bancorp Inc,11662.864,152.741,954.062,10327.269,188.551,37.062,8335.309,2026.637,92.533,344.597,68.937,33.323,2022,Optimal,0.025775961,0.068469524,0.0471227425,0.974224039,0.8718362621262749,0.9528772575,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
36,2022,BKSC,Bank of South Carolina Corp,653.346,7.547,38.812,598.67,13.434,0.815,330.982,271.172,6.655,18.897,2.065,0.631,2022,Optimal,0.0184607,0.065564941,0.0420128205,0.9815393,0.8769386294964446,0.9579871795,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
