DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,NPAs (Previous Period),Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
2,2022,ABCB,Ameris Bancorp,25053.286,319.719,3197.4,19462.738,2069.146,101.871,19855.253,1745.916,346.54,801.026,284.424,153.544,2022,Optimal,0.14332438,0.0,0.07166219,0.85667562,1.0,0.92833781,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
4,2022,AFBI,Affinity Bancshares Inc,791.283,12.221,117.103,657.172,12.722,10.538,646.234,73.809,7.134,29.755,2.402,9.621,2022,Optimal,0.11475157,0.0,0.057375785,0.88524843,1.0,0.942624215,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
6,2022,ALRS,Alerus Financial Corp,3779.637,102.571,356.872,2915.484,442.825,3.082,2443.994,1063.183,40.005,99.729,111.223,3.824,2022,Optimal,0.16180434,0.0,0.08090217,0.83819566,1.0,0.91909783,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
8,2022,AMBK,American Bank Inc,927.284,6.791,81.908,667.477,159.632,0.341,662.597,207.823,10.115,23.587,1.743,0.309,2022,Optimal,0.16828404,0.0,0.08414202,0.83171596,1.0,0.91585798,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
13,2022,ASB,Associated Banc-Corp,39405.727,454.101,4015.49,29636.154,5202.226,160.062,28799.569,7023.135,366.122,957.321,282.37,126.466,2022,Optimal,0.16990736,0.0,0.08495368,0.8300926399999999,1.0,0.91504632,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
16,2022,AUB,Atlantic Union Bankshares Corp,20461.138,228.926,2372.737,15931.677,1764.684,32.796,14449.142,3709.761,234.51,584.261,118.523,27.114,2022,Optimal,0.14185854,0.02507543,0.083466985,0.85814146,0.9510759320414108,0.916533015,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
19,2022,AX,Axos Financial Inc.,17401.165,167.39,1642.973,13946.422,637.622,151.977,14239.678,282.886,240.716,607.158,113.363,118.992,2022,Optimal,0.1131454,0.0,0.0565727,0.8868546,1.0,0.9434273,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
25,2022,BCBP,BCB Bancorp Inc,3546.193,28.021,291.254,2811.607,433.628,14.964,3077.704,129.514,45.579,113.945,1.595,5.184,2022,Optimal,0.12941508,0.013650412,0.071532746,0.87058492,0.9730668249360904,0.928467254,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
33,2022,BHRB,Burke & Herbert Financial Services Corp,3562.898,47.138,273.453,2920.4,353.437,26.261,1887.221,1388.2,44.013,103.692,17.087,5.497,2022,Optimal,0.10929321,0.03040546,0.069849335,0.89070679,0.9409835037170706,0.930150665,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
34,2022,BK,Bank of New York Mellon Corp (The),405783.0,6800.0,40741.0,278970.0,44526.0,120.0,65406.0,143300.0,2573.0,3504.0,12873.0,109.0,2022,Optimal,0.13849386,0.0,0.06924693,0.86150614,1.0,0.93075307,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
