DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,Lagged NPAs,Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
3,2023,ACNB,ACNB Corp,2418.847,40.931,277.461,1861.813,254.789,4.331,1627.988,526.898,31.688,88.32,18.445,4.64,2023,Optimal,0.15857723,0.055557535,0.1070673825,0.84142277,0.8947332889817323,0.8929326175,0.9022510836552219,0.9324370158718628,3,Network Laggards,Network Laggards
6,2023,ALRS,Alerus Financial Corp,3907.713,96.341,369.127,3095.611,378.877,3.824,2759.583,807.44,11.696,87.839,80.229,8.767,2023,Optimal,0.13254739,0.07259038,0.102568885,0.86745261,0.8646447304515261,0.8974311150000001,0.9022510836552219,0.9324370158718628,3,Network Laggards,Network Laggards
10,2023,AMTB,Amerant Bancorp Inc,9716.327,133.506,736.068,7894.863,921.325,37.599,6873.493,1496.975,32.49,326.464,87.496,54.581,2023,Optimal,0.10528383,0.11511886,0.110201345,0.89471617,0.7935307811043569,0.889798655,0.9022510836552219,0.9324370158718628,3,Network Laggards,Network Laggards
25,2023,BCBP,BCB Bancorp Inc,3832.397,30.827,314.055,2979.08,523.75,5.184,3313.316,121.779,29.483,104.062,4.088,18.783,2023,Optimal,0.12445773,0.055285209,0.0898714695,0.87554227,0.8952222422365061,0.9101285305,0.9022510836552219,0.9324370158718628,3,Network Laggards,Network Laggards
27,2023,BCTF,Bancorp 34 Inc,581.265,6.124,60.721,459.999,55.606,6.796,457.027,66.437,-3.402,15.175,0.73,5.244,2023,Optimal,0.10284287,0.073628843,0.0882358565,0.89715713,0.8628411606486618,0.9117641435,0.9022510836552219,0.9324370158718628,3,Network Laggards,Network Laggards
30,2023,BFST,Business First Bancshares Inc,6584.55,90.611,644.259,5248.79,656.237,12.823,4992.785,913.513,71.043,215.129,36.642,18.755,2023,Optimal,0.12363997,0.073446513,0.0985432415,0.87636003,0.8631575730872023,0.9014567585,0.9022510836552219,0.9324370158718628,3,Network Laggards,Network Laggards
31,2023,BHB,Bar Harbor Bankshares,3970.885,52.516,432.059,3141.157,338.827,6.549,2999.049,547.362,44.852,117.675,35.647,5.528,2023,Optimal,0.13096012,0.038953302,0.084956711,0.86903988,0.9250143352448772,0.915043289,0.9022510836552219,0.9324370158718628,3,Network Laggards,Network Laggards
55,2023,CAC,Camden National Corp,5714.506,60.009,495.064,4597.36,544.365,5.105,4098.094,1186.133,43.383,132.263,31.034,7.438,2023,Optimal,0.10888224,0.049308989,0.0790956145,0.89111776,0.9060162649573948,0.9209043855,0.9022510836552219,0.9324370158718628,3,Network Laggards,Network Laggards
56,2023,CADE,Cadence Bank,48934.51,634.722,5167.843,38497.137,4581.519,116.136,32497.022,8131.279,542.304,1351.356,-116.343,222.387,2023,Optimal,0.12650876,0.089825272,0.108167016,0.87349124,0.8351565626017159,0.891832984,0.9022510836552219,0.9324370158718628,3,Network Laggards,Network Laggards
70,2023,CCFN,Muncy Columbia Financial Corp,1639.779,11.618,153.825,1150.669,323.465,2.654,1068.429,424.991,3.387,23.262,7.121,4.475,2023,Optimal,0.1770286,0.070112883,0.1235707415,0.8229714,0.8689617065380196,0.8764292585,0.9022510836552219,0.9324370158718628,3,Network Laggards,Network Laggards
78,2023,CHBH,Croghan Bancshares Inc,1118.128,17.606,119.657,887.202,105.33,0.583,713.009,301.999,10.773,36.102,5.791,0.639,2023,Optimal,0.13640158,0.037988247,0.0871949135,0.86359842,0.9268040902971804,0.9128050865,0.9022510836552219,0.9324370158718628,3,Network Laggards,Network Laggards
