DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,NPAs (Previous Period),Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
1,2024,ABBB,Auburn Bancorp Inc,102.466,1.642,6.216,75.015,21.025,0.266,82.145,14.717,0.001,2.5,0.438,0.106,2024,Optimal,0.0,0.0,0.0,1.0,1.0,1.0,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
2,2024,ABCB,Ameris Bancorp,26262.05,347.641,3751.522,21722.448,477.5,174.321,20739.906,1902.235,358.685,849.19,293.257,122.393,2024,Optimal,0.077988987,0.0,0.0389944935,0.922011013,1.0,0.9610055065,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
5,2024,ALPIB,Alpine Banks of Colorado,6524.992,93.718,506.859,5821.606,147.356,25.379,4056.46,1858.748,49.681,185.244,50.969,4.845,2024,Optimal,0.022069055,0.0,0.0110345275,0.977930945,1.0,0.9889654725,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
6,2024,ALRS,Alerus Financial Corp,5261.673,110.278,495.41,4378.41,317.02,8.767,3992.534,884.813,17.78,107.045,114.93,62.886,2024,Optimal,0.090867761,0.0,0.0454338805,0.909132239,1.0,0.9545661195,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
7,2024,AMAL,Amalgamated Financial Corp,8256.892,93.766,707.654,7180.605,334.143,34.203,4672.924,3239.438,106.434,282.43,33.215,25.87,2024,Optimal,0.029891659,0.0,0.0149458295,0.970108341,1.0,0.9850541705,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
9,2024,AMFC,AMB Financial Corp.,372.765,4.861,30.724,336.053,3.093,2.155,285.359,17.861,2.458,10.218,1.871,2.336,2024,Optimal,0.0,0.0,0.0,1.0,1.0,1.0,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
11,2024,ARBV,American Riviera Bancorp,1279.312,19.997,111.383,1113.338,47.403,0.595,989.941,226.261,8.742,41.221,4.123,6.098,2024,Optimal,0.077324764,0.0,0.038662382,0.922675236,1.0,0.961337618,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
16,2024,AUB,Atlantic Union Bankshares Corp,24585.323,271.164,3142.879,20397.619,619.989,36.889,18470.621,3348.971,209.131,698.539,118.878,58.373,2024,Optimal,0.066744634,0.0,0.033372317,0.933255366,1.0,0.966627683,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
17,2024,AUBN,Auburn National Bancorporation Inc,977.324,12.534,78.292,895.824,0.231,0.911,564.017,243.012,6.397,27.125,3.474,0.503,2024,Optimal,0.012070999,0.0,0.0060354995,0.987929001,1.0,0.9939645005,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
19,2024,AX,Axos Financial Inc.,22855.334,250.873,2290.596,19359.217,481.602,95.259,19491.927,163.568,450.008,961.429,222.66,115.809,2024,Optimal,0.046918941,0.0,0.0234594705,0.953081059,1.0,0.9765405295,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
