Variable,Count,Mean,Std_Dev,Variance,Min,Max,Skewness,Kurtosis
Assets,1532,42294.526,276737.046,76583392861.792,98.171,4002814.0,11.345,137.331
Employee Expense,1532,552.506,3577.81,12800726.976,1.642,51357.0,10.507,116.048
Equity,1532,3966.697,24191.865,585246330.117,4.265,344758.0,10.85,125.794
Deposits,1532,29979.181,178838.614,31983249794.36,75.015,2462303.0,10.76,124.305
Borrowings,1532,5523.964,46343.93,2147759893.521,0.231,760046.0,12.466,164.514
NPAs (Previous Period),1532,122.15,681.24,464087.689,0.004,10906.0,10.331,121.031
Performing Loans,1532,19285.039,98492.748,9700821506.161,74.319,1340940.0,9.841,104.914
Investment,1532,9904.807,68675.551,4716331366.39,3.815,982627.0,11.374,137.503
Net Income,1532,441.393,3102.043,9622668.62,-1899.137,58471.0,12.972,190.677
Net-interest Income,1532,936.065,5446.07,29659683.248,2.152,92583.0,11.456,148.856
Non-interest Income,1532,630.659,4760.92,22666354.713,-813.0,84973.0,12.008,161.82
NPAs,1532,127.21,670.875,450073.464,0.004,9300.0,9.624,103.357
