number,value,datetime_start,datetime_complete,duration,params_base_max_depth,params_base_min_samples_leaf,params_base_min_samples_split,params_learning_rate,params_n_estimators,state
0,0.6216495781849289,2026-05-01 13:24:55.079831,2026-05-01 13:25:03.227999,0 days 00:00:08.148168,22,7,20,0.24041677639819287,639,COMPLETE
1,0.626055673736413,2026-05-01 13:25:03.231009,2026-05-01 13:25:11.235792,0 days 00:00:08.004783,12,8,3,0.737265320016441,641,COMPLETE
2,0.604136273291323,2026-05-01 13:25:11.237803,2026-05-01 13:25:16.829566,0 days 00:00:05.591763,5,7,20,0.26364247048639056,291,COMPLETE
3,0.6230032330042656,2026-05-01 13:25:16.831579,2026-05-01 13:25:22.104773,0 days 00:00:05.273194,13,5,7,0.36210622617823773,489,COMPLETE
4,0.6253632646979096,2026-05-01 13:25:22.107317,2026-05-01 13:25:26.919987,0 days 00:00:04.812670,33,4,4,0.5104629857953323,430,COMPLETE
5,0.616062424708731,2026-05-01 13:25:26.923003,2026-05-01 13:25:33.899552,0 days 00:00:06.976549,41,5,5,0.14180537144799796,633,COMPLETE
6,0.6278678842267444,2026-05-01 13:25:33.901621,2026-05-01 13:25:45.676980,0 days 00:00:11.775359,32,2,5,0.9690688297671034,954,COMPLETE
7,0.6283807254017446,2026-05-01 13:25:45.679524,2026-05-01 13:25:54.760510,0 days 00:00:09.080986,42,2,7,0.4961372443656412,716,COMPLETE
8,0.6173150238233822,2026-05-01 13:25:54.762054,2026-05-01 13:26:04.696470,0 days 00:00:09.934416,10,2,11,0.3329019834400152,919,COMPLETE
9,0.6242416362293339,2026-05-01 13:26:04.698491,2026-05-01 13:26:11.296273,0 days 00:00:06.597782,35,5,7,0.26636900997297436,592,COMPLETE
10,0.6194374506505754,2026-05-01 13:26:11.298283,2026-05-01 13:26:12.836080,0 days 00:00:01.537797,49,3,13,0.6760796522208002,116,COMPLETE
11,0.6315483589892187,2026-05-01 13:26:12.841100,2026-05-01 13:26:25.246564,0 days 00:00:12.405464,45,2,10,0.9835173221212126,983,COMPLETE
12,0.6267580404225005,2026-05-01 13:26:25.248585,2026-05-01 13:26:35.339380,0 days 00:00:10.090795,50,3,15,0.9621277496552779,813,COMPLETE
13,0.6269779060263363,2026-05-01 13:26:35.343400,2026-05-01 13:26:44.825419,0 days 00:00:09.482019,43,3,10,0.5564479266629709,799,COMPLETE
14,0.6281095788959286,2026-05-01 13:26:44.827440,2026-05-01 13:26:55.442995,0 days 00:00:10.615555,42,2,9,0.8168506411169012,791,COMPLETE
15,0.6155465224225088,2026-05-01 13:26:55.446528,2026-05-01 13:27:06.608024,0 days 00:00:11.161496,24,4,16,0.5075088303176367,990,COMPLETE
16,0.6333509702596734,2026-05-01 13:27:06.610029,2026-05-01 13:27:16.012676,0 days 00:00:09.402647,38,4,8,0.8286210265178027,763,COMPLETE
17,0.6226483639819653,2026-05-01 13:27:16.042284,2026-05-01 13:27:26.716134,0 days 00:00:10.673850,36,4,14,0.8488198733067707,869,COMPLETE
18,0.6206000159430303,2026-05-01 13:27:26.768798,2026-05-01 13:27:35.246259,0 days 00:00:08.477461,28,6,12,0.8987340625763197,738,COMPLETE
19,0.6333230065867275,2026-05-01 13:27:35.249283,2026-05-01 13:27:46.601449,0 days 00:00:11.352166,46,3,9,0.696086612104978,878,COMPLETE
20,0.6297737227778437,2026-05-01 13:27:46.604977,2026-05-01 13:27:57.217604,0 days 00:00:10.612627,38,4,8,0.612934704960466,873,COMPLETE
21,0.6296806161278438,2026-05-01 13:27:57.219613,2026-05-01 13:28:10.057720,0 days 00:00:12.838107,46,3,10,0.765144555727503,983,COMPLETE
22,0.6351167268037559,2026-05-01 13:28:10.061237,2026-05-01 13:28:21.375858,0 days 00:00:11.314621,46,3,9,0.8835652010367456,882,COMPLETE
23,0.6284460391468256,2026-05-01 13:28:21.378859,2026-05-01 13:28:30.656301,0 days 00:00:09.277442,47,3,6,0.6969328751762977,711,COMPLETE
24,0.6345449016922381,2026-05-01 13:28:30.658305,2026-05-01 13:28:41.649745,0 days 00:00:10.991440,39,4,9,0.873565253675943,907,COMPLETE
25,0.6279853361473904,2026-05-01 13:28:41.651757,2026-05-01 13:28:51.441649,0 days 00:00:09.789892,39,5,2,0.882102172307224,837,COMPLETE
26,0.6232938889838876,2026-05-01 13:28:51.443649,2026-05-01 13:29:01.293791,0 days 00:00:09.850142,29,4,17,0.7883404863207749,744,COMPLETE
27,0.6168300291067405,2026-05-01 13:29:01.295806,2026-05-01 13:29:07.668724,0 days 00:00:06.372918,23,6,12,0.903653697629215,508,COMPLETE
28,0.6179599483227319,2026-05-01 13:29:07.671252,2026-05-01 13:29:19.591102,0 days 00:00:11.919850,39,6,8,0.6111253178134847,913,COMPLETE
29,0.624171406599501,2026-05-01 13:29:19.593115,2026-05-01 13:29:31.080300,0 days 00:00:11.487185,19,4,18,0.8434134180076344,675,COMPLETE
30,0.6249636083895428,2026-05-01 13:29:31.081818,2026-05-01 13:29:38.525960,0 days 00:00:07.444142,33,5,12,0.8942566090987774,572,COMPLETE
31,0.6366980163250793,2026-05-01 13:29:38.527980,2026-05-01 13:29:50.823939,0 days 00:00:12.295959,47,3,9,0.7207838549010036,887,COMPLETE
32,0.6307136886140171,2026-05-01 13:29:50.831483,2026-05-01 13:30:03.282707,0 days 00:00:12.451224,50,3,9,0.7305602002027745,931,COMPLETE
33,0.6261386655160986,2026-05-01 13:30:03.284697,2026-05-01 13:30:15.157104,0 days 00:00:11.872407,45,4,8,0.7873648394803027,777,COMPLETE
34,0.6244700082470814,2026-05-01 13:30:15.158617,2026-05-01 13:30:29.854768,0 days 00:00:14.696151,37,3,6,0.9255211595886234,895,COMPLETE
35,0.6261518275846137,2026-05-01 13:30:29.856313,2026-05-01 13:30:40.662425,0 days 00:00:10.806112,41,8,11,0.8522415078145701,846,COMPLETE
36,0.6315495239353754,2026-05-01 13:30:40.664433,2026-05-01 13:30:45.547540,0 days 00:00:04.883107,48,4,4,0.6452854794201452,343,COMPLETE
37,0.6342848624042101,2026-05-01 13:30:45.550548,2026-05-01 13:30:55.179968,0 days 00:00:09.629420,44,4,6,0.7470010233823403,652,COMPLETE
38,0.6204467162201052,2026-05-01 13:30:55.181979,2026-05-01 13:31:04.281488,0 days 00:00:09.099509,44,5,6,0.43069558094079585,641,COMPLETE
39,0.6303646303446143,2026-05-01 13:31:04.285829,2026-05-01 13:31:07.680117,0 days 00:00:03.394288,31,2,4,0.7390765217407685,220,COMPLETE
40,0.6214436868763471,2026-05-01 13:31:07.682343,2026-05-01 13:31:14.033601,0 days 00:00:06.351258,41,7,5,0.5768933715947261,490,COMPLETE
41,0.6300499407508506,2026-05-01 13:31:14.036115,2026-05-01 13:31:25.683477,0 days 00:00:11.647362,40,4,8,0.8139864298225912,763,COMPLETE
