Feature,Network Leaders,Transformation Specialists,Network Laggards,Funding-Rich Underperformers,Total
NPAs,0.013040695897018034,0.009367074462108221,0.010217879658968365,0.010784133498408933,0.043409783516503556
Employee Expense,0.011176469095776066,0.010938964234531397,0.010329445280307374,0.011910972855329254,0.04435585146594409
Assets,0.010304836923498454,0.015370502709798641,0.013374418456348758,0.01627087367186089,0.05532063176150674
Performing Loans,0.024663682223576316,0.013882992513841546,0.010626695985134356,0.012443792362779472,0.06161716308533169
Non-interest Income,0.025368777036176744,0.015738374716796292,0.014358527405294122,0.017474082040135192,0.07293976119840236
Equity,0.01482767563739936,0.030152909811471073,0.01731590390297328,0.022236602056860368,0.08453309140870408
Net-interest Income,0.036558165144639526,0.0126219411171469,0.018853841975711834,0.023105453039745535,0.09113940127724379
Net Income,0.02697052528307067,0.02390603435701121,0.020322563419671046,0.022905105492027223,0.09410422855178015
Lagged NPAs,0.03872120754907324,0.021309277229458308,0.01869656452097396,0.021032928574034583,0.0997599778735401
Investment,0.0352164820499006,0.04089117841504294,0.021018933224475362,0.026263833487989236,0.12339042717740813
Deposits,0.05215176801529913,0.05804312879620615,0.0303664712256178,0.03688733992972774,0.1774487079668508
Borrowings,0.11736386868741998,0.12094413569755208,0.08105389700607776,0.10719351960404361,0.4265554209950934
