number,value,datetime_start,datetime_complete,duration,params_base_max_depth,params_base_min_samples_leaf,params_base_min_samples_split,params_max_features,params_max_samples,params_n_estimators,state
0,0.5130711208238129,2026-04-24 00:13:12.123948,2026-04-24 00:13:16.738802,0 days 00:00:04.614854,9,8,20,0.40919616423534183,0.40921304830970556,639,COMPLETE
1,0.45213335413590183,2026-04-24 00:13:16.741522,2026-04-24 00:13:20.711934,0 days 00:00:03.970412,3,7,18,0.978936896513396,0.3144091460070617,737,COMPLETE
2,0.5954612228089007,2026-04-24 00:13:20.711934,2026-04-24 00:13:23.778467,0 days 00:00:03.066533,17,2,6,0.6673295021425665,0.5129695700716763,265,COMPLETE
3,0.5533680679611506,2026-04-24 00:13:23.780001,2026-04-24 00:13:24.640020,0 days 00:00:00.860019,10,7,7,0.5564532903055841,0.5045012539746527,225,COMPLETE
4,0.5237516271655387,2026-04-24 00:13:24.640020,2026-04-24 00:13:26.376727,0 days 00:00:01.736707,10,2,16,0.3325152889039984,0.7146901982034297,563,COMPLETE
5,0.6063124500387657,2026-04-24 00:13:26.378247,2026-04-24 00:13:33.271386,0 days 00:00:06.893139,13,1,5,0.8658781436815228,0.9759424231521916,954,COMPLETE
6,0.5531703483126995,2026-04-24 00:13:33.273401,2026-04-24 00:13:34.950799,0 days 00:00:01.677398,7,7,3,0.6466238370778892,0.38542676439134516,496,COMPLETE
7,0.3948509329169779,2026-04-24 00:13:34.950799,2026-04-24 00:13:36.669838,0 days 00:00:01.719039,2,3,19,0.6640476148244676,0.5181977532625877,696,COMPLETE
8,0.5647322198535679,2026-04-24 00:13:36.669838,2026-04-24 00:13:41.598935,0 days 00:00:04.929097,12,10,5,0.9263791452993542,0.9576492590949324,798,COMPLETE
9,0.5491974421917232,2026-04-24 00:13:41.608119,2026-04-24 00:13:42.664051,0 days 00:00:01.055932,13,1,19,0.527731231534285,0.33165910223737666,276,COMPLETE
10,0.5807101687927642,2026-04-24 00:13:42.666566,2026-04-24 00:13:49.273562,0 days 00:00:06.606996,20,4,11,0.8476640889207724,0.9887273647942282,960,COMPLETE
11,0.5941391274616806,2026-04-24 00:13:49.274603,2026-04-24 00:13:49.923102,0 days 00:00:00.648499,17,1,9,0.7880091288380662,0.764492969842987,111,COMPLETE
