Feature,Network Leaders,Transformation Specialists,Network Laggards,Funding-Rich Underperformers,Total
Employee Expense,0.012642597708382613,0.01270951496395375,0.011979499088549726,0.011347116907209104,0.048678728668095195
NPAs,0.017745540285168167,0.011183546661783615,0.01384234748187327,0.01419884752462619,0.05697028195345124
Performing Loans,0.021656954645686316,0.01554710077394755,0.011355423596658568,0.012127061287547045,0.06068654030383948
Assets,0.018912236735322455,0.016757776622347592,0.012979949547942784,0.015196580131912522,0.06384654303752535
Non-interest Income,0.023943605186325875,0.016646110902092972,0.01306660560705158,0.018379399672750714,0.07203572136822115
Equity,0.014660191693273107,0.028925619148987863,0.016480485777629283,0.023499693921069053,0.08356599054095931
Net-interest Income,0.035325180284371885,0.017373988573941065,0.017449699494212368,0.02227043444680141,0.09241930279932672
NPAs (Previous Period),0.03652142402049468,0.023167796955374347,0.020841115213051903,0.01994899363425586,0.10047932982317678
Net Income,0.029299179965575448,0.02780899083372025,0.028232582874860683,0.021998651477280973,0.10733940515143736
Investment,0.03350263787024941,0.044356874915830034,0.024211417281408385,0.030651895805288452,0.13272282587277628
Deposits,0.05261316818449156,0.05600803261931372,0.027783404818717952,0.033253841008730474,0.16965844663125368
Borrowings,0.11904811612402492,0.1279690974110877,0.07728929289879206,0.1059543015171825,0.4302608079510872
