Feature,Network Leaders,Transformation Specialists,Network Laggards,Funding-Rich Underperformers,Total
Employee Expense,0.07463900876248702,0.05135438494700254,0.06453373544293103,0.05882728826533195,0.24935441741775255
Assets,0.11081869814876218,0.10294942864938732,0.11103246469460654,0.10669049487787546,0.4314910863706315
Non-interest Income,0.09888635324841188,0.1452641521532001,0.11775396416611009,0.14646227440328682,0.5083667439710089
Performing Loans,0.22175859738735748,0.1321091218454927,0.12444291636394639,0.07174784399227034,0.550058479589067
Net-interest Income,0.22221839802376597,0.061815118147958065,0.20387992351480816,0.09098424706998409,0.5788976867565163
NPAs,0.20907325269917537,0.14803467317920385,0.20212674980329376,0.13929557164485257,0.6985302473265256
NPAs (Previous Period),0.3230695330538175,0.14183176483233212,0.21261522668544186,0.1210954275678847,0.7986119521394762
Net Income,0.2557358653514836,0.1760480608906655,0.21352737034373304,0.2046359263149229,0.849947222900805
Equity,0.15351356803987176,0.4715637182834464,0.13742293336538677,0.43845460676494996,1.200954826453655
Investment,0.33813570893144734,0.4821698740334974,0.257377328507576,0.2956527805348633,1.3733356920073843
Deposits,0.4399967376053231,0.6530873856729907,0.31696752864117317,0.5251253662059,1.935177018125387
Borrowings,1.201716948644983,1.0073806490690314,1.0475831377378195,0.8395212164014441,4.096201951853278
