number,value,datetime_start,datetime_complete,duration,params_l2_leaf_reg,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,0.6346032810839166,2026-04-23 23:54:27.938727,2026-04-23 23:54:45.886611,0 days 00:00:17.947884,0.6387926357773329,0.24639878836228102,6,874,0.5780093202212182,COMPLETE
1,0.6460727606837742,2026-04-23 23:54:45.892424,2026-04-23 23:54:53.532209,0 days 00:00:07.639785,0.6410035105688879,0.273235229154987,5,656,0.8540362888980227,COMPLETE
2,0.6351205188246342,2026-04-23 23:54:53.539311,2026-04-23 23:55:03.904054,0 days 00:00:10.364743,0.29110519961044856,0.26648852816008434,6,520,0.5909124836035503,COMPLETE
3,0.6378635915134397,2026-04-23 23:55:03.906060,2026-04-23 23:55:12.791525,0 days 00:00:08.885465,0.48875051677790415,0.20495128632644755,5,683,0.645614570099021,COMPLETE
4,0.638891684374743,2026-04-23 23:55:12.792531,2026-04-23 23:55:26.802429,0 days 00:00:14.009898,0.4297256589643226,0.15842892970704364,5,1112,0.728034992108518,COMPLETE
5,0.6356700675891676,2026-04-23 23:55:26.802429,2026-04-23 23:55:42.600395,0 days 00:00:15.797966,0.6331731119758383,0.2028468876827223,5,1285,0.5232252063599989,COMPLETE
6,0.6321180087728601,2026-04-23 23:55:42.602420,2026-04-23 23:55:57.092562,0 days 00:00:14.490142,0.9539969835279999,0.1130103185970559,5,1108,0.9828160165372797,COMPLETE
7,0.637714779312267,2026-04-23 23:55:57.092562,2026-04-23 23:56:14.715064,0 days 00:00:17.622502,0.7158097238609412,0.11953442280127678,5,1309,0.7200762468698007,COMPLETE
8,0.6355162047018356,2026-04-23 23:56:14.722345,2026-04-23 23:56:22.492146,0 days 00:00:07.769801,0.9183883618709039,0.10687770422304368,5,622,0.6293899908000085,COMPLETE
9,0.6403814360443836,2026-04-23 23:56:22.492146,2026-04-23 23:56:38.183549,0 days 00:00:15.691403,0.5920392514089517,0.20401360423556214,5,1163,0.5924272277627636,COMPLETE
10,0.6470480856676197,2026-04-23 23:56:38.183549,2026-04-23 23:56:59.597028,0 days 00:00:21.413479,0.11616568805333771,0.29390742215757315,6,857,0.916815832829975,COMPLETE
11,0.6433603052649044,2026-04-23 23:56:59.599038,2026-04-23 23:57:19.422471,0 days 00:00:19.823433,0.17702656156719002,0.2959620220041121,6,850,0.8822343758608416,COMPLETE
12,0.65168757839107,2026-04-23 23:57:19.427226,2026-04-23 23:57:39.464178,0 days 00:00:20.036952,0.14672783827498997,0.29454600822913435,6,799,0.8616315620551012,COMPLETE
13,0.638931713786357,2026-04-23 23:57:39.472252,2026-04-23 23:58:02.167595,0 days 00:00:22.695343,0.10388397775802005,0.2997859074443644,6,904,0.8616252421234133,COMPLETE
14,0.635059665706061,2026-04-23 23:58:02.167595,2026-04-23 23:58:20.952630,0 days 00:00:18.785035,0.2827065087684573,0.23892060166860654,6,798,0.9810649610602548,COMPLETE
15,0.6293715377590043,2026-04-23 23:58:20.952630,2026-04-23 23:58:56.267381,0 days 00:00:35.314751,0.3138750351026607,0.23683080861544814,6,1466,0.9251601872378092,COMPLETE
16,0.6371359167484142,2026-04-23 23:58:56.272488,2026-04-23 23:59:19.668002,0 days 00:00:23.395514,0.11794375140013531,0.2736787052178192,6,999,0.8134853698356679,COMPLETE
17,0.6364517954865897,2026-04-23 23:59:19.672408,2026-04-23 23:59:37.482567,0 days 00:00:17.810159,0.22493155379732904,0.16255005218048543,6,724,0.8101282458499104,COMPLETE
18,0.6408937851972223,2026-04-23 23:59:37.482567,2026-04-24 00:00:05.162723,0 days 00:00:27.680156,0.39294527460788864,0.26101830356820166,6,1028,0.9264648734132156,COMPLETE
19,0.6262746996737018,2026-04-24 00:00:05.162723,2026-04-24 00:00:18.922631,0 days 00:00:13.759908,0.21061250777137866,0.29385397040974354,6,543,0.7837185161900674,COMPLETE
20,0.6423362361410148,2026-04-24 00:00:18.922631,2026-04-24 00:00:36.590320,0 days 00:00:17.667689,0.7926439500183973,0.22350068976644422,6,771,0.9246583962529621,COMPLETE
21,0.6381435838902856,2026-04-24 00:00:36.590320,2026-04-24 00:00:45.362557,0 days 00:00:08.772237,0.7873726554233674,0.2753557399023074,5,643,0.8589706792937295,COMPLETE
22,0.6342458655845462,2026-04-24 00:00:45.362557,2026-04-24 00:01:07.862403,0 days 00:00:22.499846,0.5029306068548668,0.2816485085953564,6,975,0.8984973577743743,COMPLETE
23,0.6344401224638686,2026-04-24 00:01:07.862403,2026-04-24 00:01:22.292263,0 days 00:00:14.429860,0.3702509449941899,0.25330248491475854,6,604,0.8335895181574714,COMPLETE
24,0.6398504378589316,2026-04-24 00:01:22.292263,2026-04-24 00:01:32.882395,0 days 00:00:10.590132,0.16026975022039808,0.2858594758803674,5,756,0.7625996491708708,COMPLETE
25,0.6356654448842531,2026-04-24 00:01:32.882395,2026-04-24 00:01:55.056083,0 days 00:00:22.173688,0.532177065816128,0.22124703664606193,6,933,0.9538685403221341,COMPLETE
26,0.6396980138961913,2026-04-24 00:01:55.056083,2026-04-24 00:02:05.839947,0 days 00:00:10.783864,0.7060120341889912,0.17589211243627073,5,824,0.8380549877235324,COMPLETE
27,0.6405407355536961,2026-04-24 00:02:05.839947,2026-04-24 00:02:23.107415,0 days 00:00:17.267468,0.4355542532293009,0.26244320528658577,6,718,0.8944765058687528,COMPLETE
28,0.6232928746785633,2026-04-24 00:02:23.107415,2026-04-24 00:02:30.555199,0 days 00:00:07.447784,0.24699923633783957,0.28251719432240774,5,585,0.7020843771180812,COMPLETE
29,0.6285911097249067,2026-04-24 00:02:30.555199,2026-04-24 00:02:51.977876,0 days 00:00:21.422677,0.35144187260404597,0.2509516634569284,6,886,0.7873244600709992,COMPLETE
30,0.6424277317446571,2026-04-24 00:02:51.977876,2026-04-24 00:03:07.764469,0 days 00:00:15.786593,0.7096162111910556,0.23559881567701013,6,668,0.9612126201174682,COMPLETE
31,0.6397448290962726,2026-04-24 00:03:07.766269,2026-04-24 00:03:28.566550,0 days 00:00:20.800281,0.17102827464400633,0.2981006375668642,6,847,0.883571381580526,COMPLETE
32,0.6417955372418266,2026-04-24 00:03:28.573510,2026-04-24 00:03:47.632469,0 days 00:00:19.058959,0.16727869544415624,0.2878395602599139,6,842,0.862633693205633,COMPLETE
33,0.6334174544994626,2026-04-24 00:03:47.639402,2026-04-24 00:04:09.091771,0 days 00:00:21.452369,0.1211546854686263,0.2653380724845667,6,919,0.9114977545942969,COMPLETE
34,0.6475407463116027,2026-04-24 00:04:09.092778,2026-04-24 00:04:26.303712,0 days 00:00:17.210934,0.2750217433498672,0.27319645723432795,6,702,0.8786573830716804,COMPLETE
35,0.6300797125693812,2026-04-24 00:04:26.303712,2026-04-24 00:04:42.093687,0 days 00:00:15.789975,0.2793615913969533,0.2746075755063601,6,695,0.9499363040167903,COMPLETE
36,0.6311098758530969,2026-04-24 00:04:42.102761,2026-04-24 00:04:54.166106,0 days 00:00:12.063345,0.628542476293521,0.2504531427826934,6,543,0.6841394058818255,COMPLETE
37,0.6473583299696913,2026-04-24 00:04:54.166106,2026-04-24 00:05:04.175708,0 days 00:00:10.009602,0.5807375239547374,0.13764652180052195,5,742,0.8318965533252155,COMPLETE
38,0.650679058425514,2026-04-24 00:05:04.175708,2026-04-24 00:05:13.912662,0 days 00:00:09.736954,0.4492076026094093,0.1349346655231306,5,786,0.8186891183897386,COMPLETE
39,0.6267826283005993,2026-04-24 00:05:13.912662,2026-04-24 00:05:20.635637,0 days 00:00:06.722975,0.4481651646174237,0.12885588665021067,5,500,0.7506917998008189,COMPLETE
40,0.6469711771979196,2026-04-24 00:05:20.636638,2026-04-24 00:05:30.486340,0 days 00:00:09.849702,0.5906190982679417,0.1336987460021152,5,769,0.8071417650695755,COMPLETE
41,0.6426829978998935,2026-04-24 00:05:30.486340,2026-04-24 00:05:40.095187,0 days 00:00:09.608847,0.3198126688892393,0.1467232231088369,5,731,0.8359996885895111,COMPLETE
42,0.6392315461768108,2026-04-24 00:05:40.095187,2026-04-24 00:05:51.442582,0 days 00:00:11.347395,0.2526284799346928,0.1743912944877206,5,813,0.7820247640984802,COMPLETE
