Feature,Network Leaders,Transformation Specialists,Network Laggards,Funding-Rich Underperformers,Total
Employee Expense,0.15513591146141884,0.15252338388126613,0.18069274180429098,0.15519493363153736,0.6435469707785133
Assets,0.20080120295794462,0.26370939276681454,0.1854648390689754,0.25186594352973396,0.9018413783234684
Net-interest Income,0.4086060677305298,0.13623616397614266,0.2532857273272747,0.17222628443402319,0.9703542434679704
Non-interest Income,0.22857822980782713,0.37513539934808315,0.24889742220670766,0.3203800253966239,1.1729910767592417
Performing Loans,0.5129367999012225,0.31676915465541083,0.2816662222887464,0.16847615082040387,1.2798483276657837
NPAs,0.38274997084533335,0.2971602436319574,0.34751589863007154,0.2935020270865782,1.3209281401939406
Net Income,0.43132175198769696,0.36820534887709294,0.3745530130158399,0.4182078435635955,1.5922879574442255
NPAs (Previous Period),0.6271293404669402,0.32925319368652917,0.40030473407808115,0.2634757832196477,1.6201630514511982
Equity,0.3291543478533744,0.7390142431340487,0.2748705975375225,0.7751636959966882,2.118202884521634
Investment,0.6332046717819466,0.8398296510604455,0.4758294012619683,0.5843505994603895,2.53321432356475
Deposits,0.4857151735637906,0.8004214307757169,0.5046154821681932,0.8301259908443723,2.620878077352073
Borrowings,2.0141571790867006,1.7333835330442764,1.7868727169155196,1.5044462767996705,7.038859705846168
