Feature,Network Leaders,Transformation Specialists,Network Laggards,Funding-Rich Underperformers,Total
Non-interest Income,0.0071977372360256505,0.007516034071469369,0.0036587101392512996,0.007082813913923372,0.02545529536066969
Employee Expense,0.011340248922038469,0.008624987051083114,0.00380734952605516,0.011680838638471283,0.03545342413764802
NPAs,0.013067060672564242,0.00785796881076016,0.007603501979390376,0.0073791757722993815,0.03590770723501416
Assets,0.012622381493271667,0.010058053322842635,0.008309560599888702,0.009138862906192027,0.04012885832219503
NPAs (Previous Period),0.016460605853986413,0.009685767655196735,0.007608016497742426,0.007844898493561429,0.041599288500487004
Performing Loans,0.014132248510848572,0.010439132829328452,0.0069194884350196224,0.010930227698814795,0.042421097474011446
Net Income,0.016652597104961836,0.010305159816364888,0.009949972296792883,0.014841408284336697,0.0517491375024563
Investment,0.016638790351516365,0.018203584753595226,0.010188741349031336,0.013282692347373648,0.05831380880151658
Net-interest Income,0.023458346426723554,0.008420566399742178,0.010033983625010642,0.016432650511216337,0.058345546962692715
Equity,0.010740968787136315,0.027858950745926304,0.01144762257130739,0.021516143104600795,0.0715636852089708
Deposits,0.02187504067614796,0.023291885862838937,0.011815554435061566,0.016481281645652296,0.07346376261970075
Borrowings,0.055827244563966406,0.05423063618641784,0.039432122669190696,0.03638661073810951,0.18587661415768444
