number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.49049227506921367,2026-04-24 00:10:31.308055,2026-04-24 00:10:34.381309,0 days 00:00:03.073254,48,6,15,437,COMPLETE
1,0.38598718858572045,2026-04-24 00:10:34.381309,2026-04-24 00:10:36.614790,0 days 00:00:02.233481,12,8,3,240,COMPLETE
2,0.3969287309041835,2026-04-24 00:10:36.614790,2026-04-24 00:10:38.870981,0 days 00:00:02.256191,37,8,2,641,COMPLETE
3,0.5418667781734218,2026-04-24 00:10:38.870981,2026-04-24 00:10:40.079397,0 days 00:00:01.208416,14,3,5,850,COMPLETE
4,0.5554939524845492,2026-04-24 00:10:40.079966,2026-04-24 00:10:40.605719,0 days 00:00:00.525753,29,4,10,374,COMPLETE
5,0.45472084663708123,2026-04-24 00:10:40.605719,2026-04-24 00:10:41.377675,0 days 00:00:00.771956,11,4,7,651,COMPLETE
6,0.5233309873659816,2026-04-24 00:10:41.378211,2026-04-24 00:10:41.994637,0 days 00:00:00.616426,41,5,5,510,COMPLETE
7,0.3815777313073383,2026-04-24 00:10:41.995930,2026-04-24 00:10:42.798878,0 days 00:00:00.802948,7,3,13,633,COMPLETE
8,0.43765703114549936,2026-04-24 00:10:42.801018,2026-04-24 00:10:43.048085,0 days 00:00:00.247067,48,7,20,158,COMPLETE
9,0.41120257612108374,2026-04-24 00:10:43.049121,2026-04-24 00:10:43.573248,0 days 00:00:00.524127,9,5,15,374,COMPLETE
10,0.5981221580159485,2026-04-24 00:10:43.575382,2026-04-24 00:10:45.349289,0 days 00:00:01.773907,23,2,9,951,COMPLETE
11,0.5989139888004231,2026-04-24 00:10:45.351544,2026-04-24 00:10:47.175923,0 days 00:00:01.824379,24,2,9,943,COMPLETE
12,0.5945060880773969,2026-04-24 00:10:47.178130,2026-04-24 00:10:49.107245,0 days 00:00:01.929115,22,2,9,984,COMPLETE
13,0.5984581800998786,2026-04-24 00:10:49.109265,2026-04-24 00:10:50.539712,0 days 00:00:01.430447,24,2,12,865,COMPLETE
14,0.5953792311358514,2026-04-24 00:10:50.541465,2026-04-24 00:10:51.830398,0 days 00:00:01.288933,29,2,13,806,COMPLETE
15,0.5542568943154779,2026-04-24 00:10:51.832455,2026-04-24 00:10:53.022465,0 days 00:00:01.190010,19,3,19,804,COMPLETE
16,0.5420993124230444,2026-04-24 00:10:53.024475,2026-04-24 00:10:54.178398,0 days 00:00:01.153923,33,4,12,878,COMPLETE
17,0.5801266867464528,2026-04-24 00:10:54.179410,2026-04-24 00:10:55.324039,0 days 00:00:01.144629,19,2,17,750,COMPLETE
18,0.5820961871389658,2026-04-24 00:10:55.326053,2026-04-24 00:10:56.772569,0 days 00:00:01.446516,25,3,7,925,COMPLETE
19,0.5174675257809445,2026-04-24 00:10:56.775091,2026-04-24 00:10:57.806540,0 days 00:00:01.031449,33,5,15,726,COMPLETE
20,0.47756536304024005,2026-04-24 00:10:57.808095,2026-04-24 00:10:59.324361,0 days 00:00:01.516266,17,6,11,1000,COMPLETE
