Feature,Network Leaders,Transformation Specialists,Network Laggards,Funding-Rich Underperformers,Total
Non-interest Income,0.009636845643543685,0.00868997679714707,0.004726828563815096,0.009178822719071862,0.03223247372357771
Employee Expense,0.012147311290201185,0.010430110440836879,0.005612640833684979,0.012443150842675001,0.04063321340739804
NPAs,0.014927342406969591,0.008480888469479825,0.009637044112349512,0.009781379465417914,0.04282665445421684
Performing Loans,0.01580529621302542,0.011130144045555738,0.007632877104585429,0.011523706167533766,0.046092023530700355
Assets,0.01310142775148566,0.012635365628673404,0.009356298720210189,0.012210886604287227,0.04730397870465648
NPAs (Previous Period),0.020951620152768018,0.01192186525789998,0.010467399391069087,0.01073786815164931,0.05407875295338639
Net Income,0.01893656716188672,0.012101811306907278,0.011886504438260444,0.018107747774145404,0.06103263068119985
Net-interest Income,0.025082683003662048,0.010413677203095212,0.012144492830380682,0.018819848070486974,0.06646070110762492
Investment,0.018897709367821446,0.021838945981050305,0.013353443174288883,0.016161576036235793,0.07025167455939642
Equity,0.012705451533473452,0.0304796215404822,0.013172403312170016,0.02458657859344447,0.08094405497957013
Deposits,0.026410768286757407,0.0296058971919336,0.015819791535750857,0.022604538332767137,0.09444099534720901
Borrowings,0.06621845437959685,0.061639187515264524,0.048857358968358425,0.044521183308972055,0.22123618417219185
