Feature,Network Leaders,Transformation Specialists,Network Laggards,Funding-Rich Underperformers,Total
Assets,0.13052584079866741,0.17106118345796312,0.17687359035916553,0.279603126832997,0.758063741448793
Employee Expense,0.18077053168659937,0.20669534845801552,0.20199257969288517,0.21064006463939633,0.8000985244768964
Non-interest Income,0.18018194196872916,0.288716515599691,0.386418334946965,0.35859168202605046,1.2139084745414357
Net-interest Income,0.259146336544218,0.14134916204440934,0.5922970920278792,0.24458305304502503,1.2373756436615315
NPAs,0.44682718022856727,0.33164538821261624,0.40765069326210773,0.27693132658588293,1.4630545882891743
Lagged NPAs,0.5512660798002864,0.2313128507359868,0.4381342041651642,0.2937975035809181,1.5145106382823557
Performing Loans,0.7908930560262558,0.37855973058641423,0.4782395021226932,0.18279876237424933,1.8304910511096126
Net Income,0.3721881889332617,0.2953723485600479,0.6569708517927371,0.5288371948391045,1.853368584125151
Investment,0.6976480735366202,0.6626257277458684,0.5217074631011143,0.33156467876361445,2.2135459431472175
Equity,0.40931258764200973,1.0443245922753321,0.45803270529462453,0.797999944103994,2.7096698293159607
Deposits,0.58237249867847,1.2204938902421876,0.3550640978153761,0.972399383612308,3.1303298703483415
Borrowings,1.600073522863916,1.7445231728074622,1.9772496165955273,1.198721993092943,6.520568305359848
