number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_split_gain,params_n_estimators,params_subsample,state
0,0.6064904456889961,2026-05-01 13:16:12.314046,2026-05-01 13:16:16.116403,0 days 00:00:03.802357,0.40921304830970556,0.3807785794998673,12,0.15599452033620265,1374,0.7190609389379257,COMPLETE
1,0.5551653639931466,2026-05-01 13:16:16.118413,2026-05-01 13:16:18.958264,0 days 00:00:02.839851,0.3144091460070617,0.34780869685222476,10,0.9699098521619943,1058,0.7956508044572318,COMPLETE
2,0.5959452990456011,2026-05-01 13:16:18.960273,2026-05-01 13:16:21.621608,0 days 00:00:02.661335,0.5129695700716763,0.0928122531645277,5,0.5247564316322378,1833,0.4283831568974037,COMPLETE
3,0.6138696747014811,2026-05-01 13:16:21.624609,2026-05-01 13:16:22.062731,0 days 00:00:00.438122,0.5045012539746527,0.12357936467723635,10,0.3663618432936917,1432,0.3976457024564293,COMPLETE
4,0.6209401550537701,2026-05-01 13:16:22.064272,2026-05-01 13:16:22.523246,0 days 00:00:00.458974,0.7146901982034297,0.31621862494327535,5,0.046450412719997725,1456,0.6599641068895281,COMPLETE
5,0.5953328199766903,2026-05-01 13:16:22.525473,2026-05-01 13:16:23.017334,0 days 00:00:00.491861,0.9759424231521916,0.07650440823804369,3,0.8083973481164611,1608,0.9642198760773333,COMPLETE
6,0.5889208851744776,2026-05-01 13:16:23.019339,2026-05-01 13:16:23.467476,0 days 00:00:00.448137,0.38542676439134516,0.04809212446248971,11,0.4951769101112702,1304,0.6081067456177209,COMPLETE
7,0.5944361008547325,2026-05-01 13:16:23.469483,2026-05-01 13:16:23.716732,0 days 00:00:00.247249,0.5181977532625877,0.36463495681072505,6,0.5200680211778108,1034,0.7637655990477874,COMPLETE
8,0.5832157312889186,2026-05-01 13:16:23.718737,2026-05-01 13:16:24.176868,0 days 00:00:00.458131,0.9576492590949324,0.08209323765495555,15,0.8948273504276488,1547,0.8425929763527802,COMPLETE
9,0.6003272619684793,2026-05-01 13:16:24.178874,2026-05-01 13:16:24.457027,0 days 00:00:00.278153,0.33165910223737666,0.36953095165901556,4,0.32533033076326434,1598,0.4371880036934016,COMPLETE
10,0.6215778715947876,2026-05-01 13:16:24.458345,2026-05-01 13:16:25.022776,0 days 00:00:00.564431,0.7683500451790013,0.27317085647389344,7,0.03872519996118318,1946,0.5986586122432099,COMPLETE
11,0.6230735776072865,2026-05-01 13:16:25.025236,2026-05-01 13:16:25.601086,0 days 00:00:00.575850,0.7861493429594566,0.2588089845323137,7,0.0086860359966692,1978,0.5657229703941564,COMPLETE
12,0.6218831493801152,2026-05-01 13:16:25.603301,2026-05-01 13:16:26.249203,0 days 00:00:00.645902,0.7829232963447843,0.2500840568891624,7,0.004217791490948534,1974,0.5573861909885389,COMPLETE
13,0.6150644718108558,2026-05-01 13:16:26.252212,2026-05-01 13:16:26.734291,0 days 00:00:00.482079,0.8401649002798568,0.2120820746090843,8,0.20882211728685843,1798,0.5252370243201853,COMPLETE
14,0.6172437719510687,2026-05-01 13:16:26.736300,2026-05-01 13:16:27.448514,0 days 00:00:00.712214,0.8702195862479494,0.21251746902394195,8,0.002952422898249597,1990,0.33210024751585576,COMPLETE
15,0.6062789418654436,2026-05-01 13:16:27.450572,2026-05-01 13:16:27.922757,0 days 00:00:00.472185,0.6479597755275968,0.26855725429493793,13,0.22397372590468512,1778,0.5314057675897281,COMPLETE
16,0.6093551007290128,2026-05-01 13:16:27.925767,2026-05-01 13:16:28.323897,0 days 00:00:00.398130,0.635121532125203,0.16058390305274728,8,0.651227931042299,1730,0.5275413956191505,COMPLETE
17,0.6167029084359612,2026-05-01 13:16:28.325907,2026-05-01 13:16:28.814660,0 days 00:00:00.488753,0.7903436464404816,0.2679220948595892,6,0.12476891979836431,1901,0.6847681682963291,COMPLETE
18,0.6068660798524773,2026-05-01 13:16:28.816669,2026-05-01 13:16:29.291771,0 days 00:00:00.475102,0.8954993441470531,0.18493374218712966,9,0.32033628563382677,1705,0.9040491252972771,COMPLETE
19,0.6186906988037946,2026-05-01 13:16:29.294295,2026-05-01 13:16:29.748938,0 days 00:00:00.454643,0.7013415060132793,0.3059131717776218,3,0.11568847551773896,1886,0.3090234931884249,COMPLETE
20,0.606457176068042,2026-05-01 13:16:29.751985,2026-05-01 13:16:30.296233,0 days 00:00:00.544248,0.6053443197259245,0.2345656925233895,7,0.6985077075972026,1991,0.4833755836818651,COMPLETE
21,0.6337584482471892,2026-05-01 13:16:30.300251,2026-05-01 13:16:31.083597,0 days 00:00:00.783346,0.7939305935638891,0.2681436541203168,7,0.01360109910939038,1927,0.6170591303912867,COMPLETE
22,0.6224226791035845,2026-05-01 13:16:31.086780,2026-05-01 13:16:31.666130,0 days 00:00:00.579350,0.7832129398805615,0.30945150277022243,6,0.014177170672176616,1875,0.602921927826344,COMPLETE
23,0.6217558764322244,2026-05-01 13:16:31.668140,2026-05-01 13:16:32.075155,0 days 00:00:00.407015,0.7075313839817097,0.3183947218029021,5,0.22878006858733224,1672,0.6346841518417706,COMPLETE
24,0.6300866491066788,2026-05-01 13:16:32.077203,2026-05-01 13:16:32.626884,0 days 00:00:00.549681,0.9136208627323115,0.2973074142793838,6,0.11084410107820485,1861,0.726330325527954,COMPLETE
25,0.6199838799253191,2026-05-01 13:16:32.628895,2026-05-01 13:16:33.072808,0 days 00:00:00.443913,0.9197824126575038,0.1607853616317052,9,0.13961056202442795,1256,0.7241192621969152,COMPLETE
26,0.6150260940793741,2026-05-01 13:16:33.074821,2026-05-01 13:16:33.578940,0 days 00:00:00.504119,0.8411860352666762,0.28909290034813473,4,0.09122440337334389,1816,0.8426597954173228,COMPLETE
27,0.622141955968768,2026-05-01 13:16:33.581948,2026-05-01 13:16:34.109807,0 days 00:00:00.527859,0.9381024086393746,0.2369872046286667,7,0.2709814367270438,1914,0.6976904386026251,COMPLETE
28,0.5951123815765318,2026-05-01 13:16:34.112325,2026-05-01 13:16:34.538145,0 days 00:00:00.425820,0.8438651612707821,0.3386521293383924,10,0.4538840419939925,1747,0.5644577391042395,COMPLETE
29,0.593431779149799,2026-05-01 13:16:34.540620,2026-05-01 13:16:34.989935,0 days 00:00:00.449315,0.9879379109171276,0.39901323310757963,13,0.1838493383575882,1663,0.7181389832041691,COMPLETE
30,0.6316177922498828,2026-05-01 13:16:34.991944,2026-05-01 13:16:35.587101,0 days 00:00:00.595157,0.7416428266670534,0.17005482481819104,4,0.07700215372600598,1878,0.7870553958295972,COMPLETE
31,0.6202747435585418,2026-05-01 13:16:35.589113,2026-05-01 13:16:36.160743,0 days 00:00:00.571630,0.7374952477436104,0.18491294739299707,4,0.08183593325260481,1857,0.7743209848529388,COMPLETE
32,0.6225574186521141,2026-05-01 13:16:36.163761,2026-05-01 13:16:36.706087,0 days 00:00:00.542326,0.8122231470024298,0.14616854475311852,6,0.14673426608745554,1940,0.8245121917032023,COMPLETE
33,0.6368239858700372,2026-05-01 13:16:36.708603,2026-05-01 13:16:37.172953,0 days 00:00:00.464350,0.5810518550670855,0.23964882508094176,5,0.07700572246650211,1833,0.7332638524024792,COMPLETE
34,0.6326873641777977,2026-05-01 13:16:37.174962,2026-05-01 13:16:39.723758,0 days 00:00:02.548796,0.5782645182353782,0.010102223798838156,5,0.07828315023064278,1818,0.749846667251502,COMPLETE
35,0.6099802850343659,2026-05-01 13:16:39.726222,2026-05-01 13:16:40.438658,0 days 00:00:00.712436,0.5814244607264362,0.019878152158772033,5,0.4004242295648204,1126,0.8755248972523625,COMPLETE
36,0.6116339759205087,2026-05-01 13:16:40.440669,2026-05-01 13:16:41.718228,0 days 00:00:01.277559,0.45585808428687874,0.01353595929394838,4,0.2761304125515133,1779,0.7643153651474689,COMPLETE
37,0.6353552545014828,2026-05-01 13:16:41.720238,2026-05-01 13:16:42.208992,0 days 00:00:00.488754,0.5671310488446231,0.11923474097187263,3,0.17751407247224776,1616,0.9490534182506254,COMPLETE
38,0.6268413351350113,2026-05-01 13:16:42.211001,2026-05-01 13:16:42.645121,0 days 00:00:00.434120,0.5516996014390837,0.11785560887165987,3,0.18525683790983996,1500,0.8980734697999341,COMPLETE
39,0.6017258833454336,2026-05-01 13:16:42.646616,2026-05-01 13:16:43.096110,0 days 00:00:00.449494,0.4606099551049472,0.053335257972751425,5,0.600241164751386,1599,0.965762665793076,COMPLETE
40,0.6115567494611269,2026-05-01 13:16:43.098133,2026-05-01 13:16:43.501723,0 days 00:00:00.403590,0.542274958087463,0.12974219585023475,3,0.2772494599221689,1652,0.9931644454339437,COMPLETE
41,0.6302021338816906,2026-05-01 13:16:43.504201,2026-05-01 13:16:44.050413,0 days 00:00:00.546212,0.6796933150344467,0.09767617211981568,4,0.06881511667973483,1373,0.6522540040570937,COMPLETE
42,0.6304843894424658,2026-05-01 13:16:44.051935,2026-05-01 13:16:44.544264,0 days 00:00:00.492329,0.6157211688430159,0.19059736186399356,5,0.06292641482041163,1828,0.8088709311904192,COMPLETE
43,0.6228927989867754,2026-05-01 13:16:44.545783,2026-05-01 13:16:45.168929,0 days 00:00:00.623146,0.48561394931490864,0.05540701075070775,3,0.16404353526923976,1544,0.7496933260076566,COMPLETE
44,0.631676820832838,2026-05-01 13:16:45.171936,2026-05-01 13:16:45.641367,0 days 00:00:00.469431,0.5821625619700032,0.2237535868029128,4,0.07278498582636614,1729,0.6740636269549748,COMPLETE
45,0.6163138200329128,2026-05-01 13:16:45.643835,2026-05-01 13:16:46.116080,0 days 00:00:00.472245,0.5758260783031032,0.22786287485183904,5,0.0461790902808186,1746,0.6833857346659131,COMPLETE
46,0.5935550682066244,2026-05-01 13:16:46.118121,2026-05-01 13:16:46.474631,0 days 00:00:00.356510,0.6752763842024045,0.20485303274631816,3,0.9919564653632482,1632,0.6301144900002542,COMPLETE
47,0.6168640069291831,2026-05-01 13:16:46.476099,2026-05-01 13:16:46.885052,0 days 00:00:00.408953,0.5275374033037992,0.2506776720671625,4,0.24425952479199914,1703,0.6668265583043644,COMPLETE
48,0.5745218244769454,2026-05-01 13:16:46.887154,2026-05-01 13:16:47.234884,0 days 00:00:00.347730,0.3974576144015765,0.28139585412072765,5,0.909684684365512,1557,0.8661729681261449,COMPLETE
49,0.6300255675518545,2026-05-01 13:16:47.237400,2026-05-01 13:16:47.884436,0 days 00:00:00.647036,0.49917116513446963,0.10241889679717474,6,0.03777850614331488,1791,0.493667759603954,COMPLETE
