Feature,Network Leaders,Transformation Specialists,Network Laggards,Funding-Rich Underperformers,Total
Employee Expense,0.14125690908128613,0.2147181999913392,0.12892255321698298,0.16506130955909917,0.6499589718487074
Assets,0.09269217729025533,0.3209908923685361,0.26656162544445827,0.2123171397382547,0.8925618348415044
Net-interest Income,0.3293968531047375,0.14767230065103093,0.3249504912460913,0.16281497638195677,0.9648346213838165
Non-interest Income,0.1605989528052186,0.26987340489920475,0.3576970965499283,0.33965501582832325,1.127824470082675
NPAs,0.32216171055383735,0.28877593054178724,0.3423831963892642,0.26878956165808154,1.2221103991429705
Performing Loans,0.5181795577129478,0.24369462749115514,0.34339406859154503,0.17672159037963753,1.2819898441752855
NPAs (Previous Period),0.4125882824188545,0.18936681250155019,0.4496092465519799,0.24600783191004458,1.297572173382429
Net Income,0.22697420149086286,0.21123332765881583,0.6243500536662122,0.5025806750374233,1.5651382578533142
Investment,0.5623747230267478,0.5891879779153517,0.36604350836337884,0.31176608865410593,1.8293722979595843
Equity,0.26631596681081476,0.8460933436065525,0.3088001853995302,0.6667539234425588,2.0879634192594563
Deposits,0.4775018118228058,1.0598621769135705,0.3975330595701729,0.8018516380211218,2.736748686327671
Borrowings,1.2234189625973044,1.424087171062727,1.646926046810409,0.819043034541672,5.113475215012113
