Feature,Network Leaders,Transformation Specialists,Network Laggards,Funding-Rich Underperformers,Total
Employee Expense,0.008718132984507208,0.009859275147462264,0.007110544024507272,0.009401567955609948,0.03508952011208669
Non-interest Income,0.008594110934711033,0.009272354006526505,0.008376507182971185,0.009105984176829944,0.03534895630103867
Performing Loans,0.01835362822343983,0.008809172686236733,0.011793647812441603,0.009297849920553181,0.04825429864267135
Assets,0.014046943484435411,0.013159999660792614,0.015535306671894202,0.013219494825737019,0.055961744642859246
NPAs (Previous Period),0.02223735881538748,0.010730029311849892,0.013986832590104175,0.011408059075630344,0.0583622797929719
NPAs,0.017692286918305978,0.010926136257431574,0.01707513484483944,0.013192310987561908,0.0588858690081389
Net-interest Income,0.028700762881394105,0.012164668634597725,0.019821283616749272,0.019724671945373598,0.0804113870781147
Equity,0.0162093943490927,0.02945550303464703,0.018699817756345896,0.026617140980510653,0.09098185612059628
Net Income,0.03195121588072085,0.022283543223826856,0.024974837577074107,0.02854482645054706,0.10775442313216888
Deposits,0.02765098089559833,0.02995317147695106,0.023383556846451208,0.02706180259175359,0.10804951181075417
Investment,0.022942766894411975,0.0374605512842024,0.024961364748801347,0.02522314829076687,0.1105878312181826
Borrowings,0.08926509685160962,0.08573001209910884,0.08244490323215016,0.07756086913223,0.3350008813150986
