Feature,Network Leaders,Transformation Specialists,Network Laggards,Funding-Rich Underperformers,Total
Employee Expense,0.009973686938073777,0.00865624799850164,0.006234596943610738,0.009294385252645117,0.03415891713283127
Non-interest Income,0.013792480432258626,0.009896176099399346,0.00764738767340321,0.014384138700041574,0.045720182905102755
Performing Loans,0.018957563818509996,0.009157587069170558,0.009281375603512278,0.009103008223283296,0.046499534714476126
Assets,0.01442356633905582,0.015583663397291026,0.011279660087160142,0.013584099742733757,0.05487098956624075
NPAs,0.02134895091786896,0.010276634638955345,0.013968367807023077,0.01478118929047828,0.06037514265432566
Lagged NPAs,0.029007043929523194,0.012715520975925121,0.012319613223714792,0.015439477255296681,0.06948165538445979
Net-interest Income,0.032124297814334554,0.01108501670646775,0.017292808380689917,0.018958902911494678,0.07946102581298689
Equity,0.019059382219430314,0.0307117086573339,0.01759332974580232,0.02897378869181307,0.0963382093143796
Investment,0.026636258762943277,0.03800662611229991,0.019091045159425453,0.023420429298845472,0.10715435933351411
Deposits,0.028063596720009753,0.03339339641237496,0.02007004916254429,0.027504129205342433,0.10903117150027145
Net Income,0.034037535895668714,0.021393884641933158,0.022173602335601537,0.031713236626569705,0.10931825949977311
Borrowings,0.09901240535360534,0.09895235204947331,0.0694767510205119,0.07499444005564038,0.3424359484792309
