Feature,Network Leaders,Transformation Specialists,Network Laggards,Funding-Rich Underperformers,Total
Employee Expense,0.019838251462330325,0.02220810762025681,0.012390408523196266,0.011322755725508981,0.06575952333129238
Assets,0.01382921513690406,0.02351573628225613,0.010916131428636776,0.029934216780050253,0.07819529962784721
Non-interest Income,0.018394316796385684,0.029223873813841766,0.020587393162260704,0.025279402109688216,0.09348498588217638
Net-interest Income,0.04536687526159218,0.01706459786017322,0.023483311434149445,0.027142016778500696,0.11305680133441555
NPAs (Previous Period),0.05445743352775084,0.03547347676778004,0.024349790068137818,0.02925153542851303,0.14353223579218172
NPAs,0.04670989965656463,0.04071356974122774,0.02455308152893788,0.032667043403274955,0.1446435943300052
Net Income,0.04568644117995853,0.03686599400193331,0.02943129508867511,0.04991595996727641,0.16189969023784334
Performing Loans,0.09020744682565233,0.04744240265656008,0.015626298160107785,0.03455820526664504,0.18783435290896527
Investment,0.09123392942640822,0.09798999098861318,0.026044955408238413,0.03607531847355447,0.2513441942968143
Equity,0.05961073952726083,0.14116993386906657,0.028943177617050148,0.09117823561033978,0.32090208662371733
Deposits,0.08065141185579552,0.16566314732994467,0.026621699687457853,0.10320733326614992,0.376143592139348
Borrowings,0.21200041653896215,0.2049251925195569,0.08571355653001418,0.08360799684738408,0.5862471624359173
