Feature,Network Leaders,Transformation Specialists,Network Laggards,Funding-Rich Underperformers,Total
Employee Expense,0.02834033522941669,0.03436699408989915,0.016758281284613083,0.017355440596584833,0.09682105120051376
Non-interest Income,0.024416945677455813,0.034850591990173284,0.024956616900834304,0.025519264447045966,0.10974341901550938
Assets,0.019126422252321303,0.042861523316446486,0.0205137637317154,0.04574165958056754,0.12824336888105073
Net-interest Income,0.059747012054427256,0.018037469702678752,0.025562909133268624,0.039067349803524054,0.1424147406938987
NPAs,0.04378442462642397,0.03728003172197165,0.02650900800498331,0.037233575658411296,0.14480704001179023
Lagged NPAs,0.05481702349349619,0.036245624114141964,0.02519104634320386,0.03330361002524088,0.1495573039760829
Net Income,0.03823274418714892,0.047305910630126694,0.029606405082812523,0.04653520758737904,0.16168026748746717
Investment,0.10425769177386639,0.0948995322109255,0.028518064857662437,0.03729767070017232,0.2649729595426266
Performing Loans,0.14150853441418904,0.05969807328766374,0.027437449604768346,0.05970332879096662,0.28834738609758775
Equity,0.09076791084899132,0.1781755030303439,0.03345096608327019,0.10308091210105941,0.40547529206366484
Deposits,0.0687727771509579,0.1831212864745701,0.034833344526532466,0.13278403550976836,0.41951144366182885
Borrowings,0.20932765238338186,0.1970014404468386,0.08896690685893589,0.08327419714655751,0.5785701968357139
