Feature,Network Leaders,Transformation Specialists,Network Laggards,Funding-Rich Underperformers,Total
Employee Expense,0.16417964,0.19851449,0.17581964,0.15022515,0.68873894
Assets,0.10457213,0.30315986,0.24410471,0.43849128,1.090328
Non-interest Income,0.21514791,0.19863497,0.40508696,0.3316446,1.1505144
Net-interest Income,0.39627638,0.11476836,0.4384203,0.2116512,1.1611162
NPAs (Previous Period),0.45487282,0.23610203,0.39767283,0.27517247,1.3638201
NPAs,0.34307805,0.31803623,0.39952356,0.32757396,1.3882117
Net Income,0.39740366,0.34381825,0.39435315,0.43409768,1.5696727
Performing Loans,0.7914651,0.2650154,0.45108777,0.15309495,1.6606634
Investment,0.66935086,0.6191311,0.5047899,0.34547007,2.138742
Equity,0.38667017,1.161376,0.3775883,1.013852,2.9394865
Deposits,0.48992026,1.3042961,0.5339413,1.178883,3.5070405
Borrowings,1.3857577,1.760094,1.7144418,1.0527736,5.913067
