number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
0,0.5916023955097555,2026-04-23 23:23:42.667510,2026-04-23 23:23:47.187445,0 days 00:00:04.519935,0.40919616423534183,0.39279757672456206,15,7,1374,0.40921304830970556,COMPLETE
1,0.5929319720000764,2026-04-23 23:23:47.187445,2026-04-23 23:23:50.374308,0 days 00:00:03.186863,0.978936896513396,0.34044600469728353,14,8,1058,0.3144091460070617,COMPLETE
2,0.6069858355674644,2026-04-23 23:23:50.376338,2026-04-23 23:23:54.331292,0 days 00:00:03.954954,0.6673295021425665,0.17272998688284025,7,3,1833,0.5129695700716763,COMPLETE
3,0.6050358418265696,2026-04-23 23:23:54.331827,2026-04-23 23:23:56.048065,0 days 00:00:01.716238,0.5564532903055841,0.34474115788895177,8,3,1432,0.5045012539746527,COMPLETE
4,0.5977476430431019,2026-04-23 23:23:56.048065,2026-04-23 23:23:57.864249,0 days 00:00:01.816184,0.3325152889039984,0.1798695128633439,13,6,1456,0.7146901982034297,COMPLETE
5,0.6101720830911213,2026-04-23 23:23:57.867583,2026-04-23 23:24:00.338534,0 days 00:00:02.470951,0.8658781436815228,0.12602063719411183,6,10,1608,0.9759424231521916,COMPLETE
6,0.5990370491603578,2026-04-23 23:24:00.338534,2026-04-23 23:24:01.800537,0 days 00:00:01.462003,0.6466238370778892,0.3736932106048628,6,5,1304,0.38542676439134516,COMPLETE
7,0.6072853965394632,2026-04-23 23:24:01.801570,2026-04-23 23:24:03.148079,0 days 00:00:01.346509,0.6640476148244676,0.20351199264000677,15,7,1034,0.5181977532625877,COMPLETE
8,0.6183935606145863,2026-04-23 23:24:03.150293,2026-04-23 23:24:05.052571,0 days 00:00:01.902278,0.9263791452993542,0.48783385110582345,7,8,1547,0.9576492590949324,COMPLETE
9,0.6087126695405551,2026-04-23 23:24:05.054595,2026-04-23 23:24:07.341783,0 days 00:00:02.287188,0.527731231534285,0.1353970008207678,15,3,1598,0.33165910223737666,COMPLETE
10,0.6179089568381195,2026-04-23 23:24:07.344798,2026-04-23 23:24:10.033576,0 days 00:00:02.688778,0.8514898169575948,0.48781484431514627,10,10,1946,0.9887119513023361,COMPLETE
11,0.6210547986166322,2026-04-23 23:24:10.033576,2026-04-23 23:24:12.518411,0 days 00:00:02.484835,0.843002859902114,0.4931082940515931,10,10,1980,0.9970613211505843,COMPLETE
12,0.6107926046915272,2026-04-23 23:24:12.521443,2026-04-23 23:24:14.490040,0 days 00:00:01.968597,0.8411277878369336,0.49760237639848925,10,9,1777,0.877396517596789,COMPLETE
13,0.6015342436983693,2026-04-23 23:24:14.491564,2026-04-23 23:24:16.065015,0 days 00:00:01.573451,0.9547455082811117,0.4344817341964977,10,9,1216,0.7895009700662527,COMPLETE
14,0.6160056263427788,2026-04-23 23:24:16.065015,2026-04-23 23:24:18.760354,0 days 00:00:02.695339,0.7670719273350446,0.2866194948861844,12,8,1986,0.8652453047404418,COMPLETE
15,0.6136899700247946,2026-04-23 23:24:18.761898,2026-04-23 23:24:20.900388,0 days 00:00:02.138490,0.7683612376177267,0.4366340448817052,8,10,1731,0.8907860711978361,COMPLETE
