Feature,Network Leaders,Transformation Specialists,Network Laggards,Funding-Rich Underperformers,Total
NPAs (Previous Period),0.5899232,0.35661685,0.39343095,0.44114795,1.781119
Non-interest Income,0.34005296,0.39699548,0.4783932,0.5661898,1.7816315
NPAs,0.540476,0.38083172,0.44234642,0.4424858,1.80614
Employee Expense,0.57398564,0.54808956,0.3453684,0.5032305,1.970674
Net Income,0.6033398,0.6893826,0.29900053,0.4186065,2.0103295
Net-interest Income,0.9696582,0.45437363,0.542595,0.53848565,2.5051126
Assets,0.13496165,0.89376754,0.7321234,0.8924668,2.6533194
Investment,1.4251634,0.831968,0.6740421,0.5483889,3.4795623
Performing Loans,2.3408947,0.39191502,0.9049288,0.23156174,3.8693004
Equity,1.2987524,2.273158,0.66529953,2.020805,6.2580147
Deposits,0.5433905,2.7580264,0.7550022,2.5724914,6.62891
Borrowings,2.421982,2.8845594,2.7051098,1.6017848,9.613436
