Model_A,Model_B,Metric,Value_A,Value_B,Outcome
AdaBoost Optuna,Bagging Optuna,Accuracy,0.593,0.616,Bagging Optuna wins
AdaBoost Optuna,Bagging Optuna,Macro Precision,0.59,0.622,Bagging Optuna wins
AdaBoost Optuna,Bagging Optuna,Macro Recall,0.586,0.603,Bagging Optuna wins
AdaBoost Optuna,Bagging Optuna,Macro F1,0.586,0.609,Bagging Optuna wins
AdaBoost Optuna,Bagging Optuna,Weighted Precision,0.593,0.619,Bagging Optuna wins
AdaBoost Optuna,Bagging Optuna,Weighted Recall,0.593,0.616,Bagging Optuna wins
AdaBoost Optuna,Bagging Optuna,Weighted F1,0.591,0.615,Bagging Optuna wins
AdaBoost Optuna,Bagging Optuna,Avg AUC,0.855,0.841,AdaBoost Optuna wins
AdaBoost Optuna,CatBoost Optuna,Accuracy,0.593,0.645,CatBoost Optuna wins
AdaBoost Optuna,CatBoost Optuna,Macro Precision,0.59,0.637,CatBoost Optuna wins
AdaBoost Optuna,CatBoost Optuna,Macro Recall,0.586,0.633,CatBoost Optuna wins
AdaBoost Optuna,CatBoost Optuna,Macro F1,0.586,0.635,CatBoost Optuna wins
AdaBoost Optuna,CatBoost Optuna,Weighted Precision,0.593,0.644,CatBoost Optuna wins
AdaBoost Optuna,CatBoost Optuna,Weighted Recall,0.593,0.645,CatBoost Optuna wins
AdaBoost Optuna,CatBoost Optuna,Weighted F1,0.591,0.644,CatBoost Optuna wins
AdaBoost Optuna,CatBoost Optuna,Avg AUC,0.855,0.855,Draw
AdaBoost Optuna,Extra Trees Optuna,Accuracy,0.593,0.616,Extra Trees Optuna wins
AdaBoost Optuna,Extra Trees Optuna,Macro Precision,0.59,0.623,Extra Trees Optuna wins
AdaBoost Optuna,Extra Trees Optuna,Macro Recall,0.586,0.601,Extra Trees Optuna wins
AdaBoost Optuna,Extra Trees Optuna,Macro F1,0.586,0.609,Extra Trees Optuna wins
AdaBoost Optuna,Extra Trees Optuna,Weighted Precision,0.593,0.619,Extra Trees Optuna wins
AdaBoost Optuna,Extra Trees Optuna,Weighted Recall,0.593,0.616,Extra Trees Optuna wins
AdaBoost Optuna,Extra Trees Optuna,Weighted F1,0.591,0.615,Extra Trees Optuna wins
